Fiscal year,Continent ID,Division ID,Disability issues (marker),Youth issues (marker),Branch ID,Gender equality (marker),Project Browser country ID,Organisation class,Continent name,CountryRegion percent,Division name,Status,Participatory development and good governance,CFLI (marker),Organisation type,CountryRegion name,Amount spent,Bilateral aid (international marker),Project number,ICT as a tool for development (marker),Biodiversity (marker),Indigenous issues (marker),Section ID,Regional program (marker),Climate change mitigation (marker),Desertification (marker),Trade development (marker),Urban issues (marker),Children issues (marker),Knowledge for development (marker),Organisation ID,Organisation name,Organisation sub-class,CountryRegion ID,Sector ID,Sector name,Sector percent
2009/2010,3,D3100,0,0,B3100,2,IQ,Multilateral,Asia,0.14,EDD Europe-Middle East Programming,Closed,1,0,Foreign Non-Profit Making,Western Asia,100047.7694,1,Z020828001,0,0,0,S4256,1,0,0,0,0,0,0,1001304,UNDP - United Nations Development Programme,UNITED NATIONS,130,15130,Legal and judicial development,0.67
2009/2010,3,D3100,0,0,B3100,2,IQ,Multilateral,Asia,0.14,EDD Europe-Middle East Programming,Closed,1,0,Foreign Non-Profit Making,Western Asia,49277.25957,1,Z020828001,0,0,0,S4256,1,0,0,0,0,0,0,1001304,UNDP - United Nations Development Programme,UNITED NATIONS,130,15160,Human rights,0.33
2009/2010,3,D3100,0,0,B3100,2,JO,Multilateral,Asia,0.14,EDD Europe-Middle East Programming,Closed,1,0,Foreign Non-Profit Making,Western Asia,100047.7694,1,Z020828001,0,0,0,S4256,1,0,0,0,0,0,0,1001304,UNDP - United Nations Development Programme,UNITED NATIONS,130,15130,Legal and judicial development,0.67
2009/2010,3,D3100,0,0,B3100,2,JO,Multilateral,Asia,0.14,EDD Europe-Middle East Programming,Closed,1,0,Foreign Non-Profit Making,Western Asia,49277.25957,1,Z020828001,0,0,0,S4256,1,0,0,0,0,0,0,1001304,UNDP - United Nations Development Programme,UNITED NATIONS,130,15160,Human rights,0.33
2009/2010,3,D3100,0,0,B3100,2,YE,Multilateral,Asia,0.14,EDD Europe-Middle East Programming,Closed,1,0,Foreign Non-Profit Making,Western Asia,100047.7694,1,Z020828001,0,0,0,S4256,1,0,0,0,0,0,0,1001304,UNDP - United Nations Development Programme,UNITED NATIONS,130,15130,Legal and judicial development,0.67
2009/2010,3,D3100,0,0,B3100,2,YE,Multilateral,Asia,0.14,EDD Europe-Middle East Programming,Closed,1,0,Foreign Non-Profit Making,Western Asia,49277.25957,1,Z020828001,0,0,0,S4256,1,0,0,0,0,0,0,1001304,UNDP - United Nations Development Programme,UNITED NATIONS,130,15160,Human rights,0.33
2009/2010,3,D3100,0,0,B3100,2,PS,Multilateral,Asia,1.0,EDD Europe-Middle East Programming,Closed,0,0,Foreign Non-Profit Making,West Bank Gaza,23400.0,1,Z020832003,0,0,0,S4264,0,0,0,0,0,0,0,1002657,FAO - Food and Agriculture Organization of the United Nations,UNITED NATIONS,PS,72040,Emergency food aid,1.0
2009/2010,5,D3100,0,0,B3100,2,X4,Governmental,Europe,1.0,EDD Europe-Middle East Programming,Closed,0,0,Canadian Non-Profit Making,Europe MC,-45489.795,1,Z020835001,0,0,0,S3116,1,0,0,0,0,0,0,10050,Department of Foreign Affairs and International Trade,FEDERAL,X4,25010,Business support services and institutions,0.65
2009/2010,5,D3100,0,0,B3100,2,X4,Multilateral,Europe,1.0,EDD Europe-Middle East Programming,Closed,0,0,Foreign Non-Profit Making,Europe MC,45500.0,1,Z020835001,0,0,0,S3116,1,0,0,0,0,0,0,1001405,European Bank for Reconstruction and Development,IFI,X4,25010,Business support services and institutions,0.65
2009/2010,5,D3100,0,0,B3100,2,X4,Governmental,Europe,1.0,EDD Europe-Middle East Programming,Closed,0,0,Canadian Non-Profit Making,Europe MC,-24494.505,1,Z020835001,0,0,0,S3116,1,0,0,0,0,0,0,10050,Department of Foreign Affairs and International Trade,FEDERAL,X4,43010,Multisector aid,0.35
2009/2010,5,D3100,0,0,B3100,2,X4,Multilateral,Europe,1.0,EDD Europe-Middle East Programming,Closed,0,0,Foreign Non-Profit Making,Europe MC,24500.0,1,Z020835001,0,0,0,S3116,1,0,0,0,0,0,0,1001405,European Bank for Reconstruction and Development,IFI,X4,43010,Multisector aid,0.35
2009/2010,2,D3100,0,0,B3100,2,EG,Civil Society,Africa,1.0,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Egypt,63287.7,1,Z020845001,0,0,0,S4256,0,0,0,0,0,0,0,1000806,Aga Khan Foundation Canada,NGO,EG,11330,Vocational training,0.1
2009/2010,2,D3100,0,0,B3100,2,EG,Civil Society,Africa,1.0,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Egypt,94931.55,1,Z020845001,0,0,0,S4256,0,0,0,0,0,0,0,1000806,Aga Khan Foundation Canada,NGO,EG,15150,Democratic participation and civil society,0.15
2009/2010,2,D3100,0,0,B3100,2,EG,Civil Society,Africa,1.0,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Egypt,189863.1,1,Z020845001,0,0,0,S4256,0,0,0,0,0,0,0,1000806,Aga Khan Foundation Canada,NGO,EG,24030,Formal sector financial intermediaries,0.3
2009/2010,2,D3100,0,0,B3100,2,EG,Civil Society,Africa,1.0,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Egypt,189863.1,1,Z020845001,0,0,0,S4256,0,0,0,0,0,0,0,1000806,Aga Khan Foundation Canada,NGO,EG,25010,Business support services and institutions,0.3
2009/2010,2,D3100,0,0,B3100,2,EG,Civil Society,Africa,1.0,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Egypt,94931.55,1,Z020845001,0,0,0,S4256,0,0,0,0,0,0,0,1000806,Aga Khan Foundation Canada,NGO,EG,32140,Cottage industries and handicrafts,0.15
2009/2010,2,D3100,0,0,B3100,2,EG,Governmental,Africa,1.0,EDD Europe-Middle East Programming,Operational,1,0,Canadian Non-Profit Making,Egypt,145091.182,1,Z020846001,0,0,0,S4256,0,0,0,0,0,0,0,10050,Department of Foreign Affairs and International Trade,FEDERAL,EG,15150,Democratic participation and civil society,0.2
2009/2010,2,D3100,0,0,B3100,2,EG,Governmental,Africa,1.0,EDD Europe-Middle East Programming,Operational,1,0,Canadian Non-Profit Making,Egypt,580364.728,1,Z020846001,0,0,0,S4256,0,0,0,0,0,0,0,10050,Department of Foreign Affairs and International Trade,FEDERAL,EG,25010,Business support services and institutions,0.8
2009/2010,3,D3100,0,1,B3100,2,JO,Civil Society,Asia,1.0,EDD Europe-Middle East Programming,Closed,1,0,Canadian Non-Profit Making,Jordan,700450.588,1,Z020853001,0,0,0,S4256,0,0,0,0,0,0,0,1005618,Saskatchewan Polytechnic,COLLEGE,JO,11330,Vocational training,0.4
2009/2010,3,D3100,0,1,B3100,2,JO,Civil Society,Asia,1.0,EDD Europe-Middle East Programming,Closed,1,0,Canadian Non-Profit Making,Jordan,175112.647,1,Z020853001,0,0,0,S4256,0,0,0,0,0,0,0,1005618,Saskatchewan Polytechnic,COLLEGE,JO,15110,Public sector policy and administrative management,0.1
2009/2010,3,D3100,0,1,B3100,2,JO,Civil Society,Asia,1.0,EDD Europe-Middle East Programming,Closed,1,0,Canadian Non-Profit Making,Jordan,525337.941,1,Z020853001,0,0,0,S4256,0,0,0,0,0,0,0,1005618,Saskatchewan Polytechnic,COLLEGE,JO,16020,Employment policy and administrative management,0.3
2009/2010,3,D3100,0,1,B3100,2,JO,Civil Society,Asia,1.0,EDD Europe-Middle East Programming,Closed,1,0,Canadian Non-Profit Making,Jordan,350225.294,1,Z020853001,0,0,0,S4256,0,0,0,0,0,0,0,1005618,Saskatchewan Polytechnic,COLLEGE,JO,25010,Business support services and institutions,0.2
2009/2010,2,D3100,0,0,B3100,2,TN,Governmental,Africa,0.05,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,66.2508,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15150,Democratic participation and civil society,0.3
2009/2010,2,D3100,0,0,B3100,2,TN,Governmental,Africa,0.05,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,8502.96885,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15150,Democratic participation and civil society,0.3
2009/2010,2,D3100,0,0,B3100,2,TN,Civil Society,Africa,0.05,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,18.36,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,SUPPLIER OF GOODS/SERVICES,70,15150,Democratic participation and civil society,0.3
2009/2010,2,D3100,0,0,B3100,2,TN,Individual,Africa,0.05,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,102.49035,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,COOPERANT,70,15150,Democratic participation and civil society,0.3
2009/2010,2,D3100,0,0,B3100,2,TN,Unknown,Africa,0.05,EDD Europe-Middle East Programming,Terminating,1,0,Uncoded,Northern Africa,389.71095,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,Unknown,70,15150,Democratic participation and civil society,0.3
2009/2010,2,D3100,0,0,B3100,2,TN,Governmental,Africa,0.05,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,88.3344,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15160,Human rights,0.4
2009/2010,2,D3100,0,0,B3100,2,TN,Governmental,Africa,0.05,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,11337.2918,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15160,Human rights,0.4
2009/2010,2,D3100,0,0,B3100,2,TN,Civil Society,Africa,0.05,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,24.48,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,SUPPLIER OF GOODS/SERVICES,70,15160,Human rights,0.4
2009/2010,2,D3100,0,0,B3100,2,TN,Individual,Africa,0.05,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,136.6538,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,COOPERANT,70,15160,Human rights,0.4
2009/2010,2,D3100,0,0,B3100,2,TN,Unknown,Africa,0.05,EDD Europe-Middle East Programming,Terminating,1,0,Uncoded,Northern Africa,519.6146,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,Unknown,70,15160,Human rights,0.4
2009/2010,2,D3100,0,0,B3100,2,TN,Governmental,Africa,0.05,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,66.2508,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,2,D3100,0,0,B3100,2,TN,Governmental,Africa,0.05,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,8502.96885,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,2,D3100,0,0,B3100,2,TN,Civil Society,Africa,0.05,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,18.36,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,SUPPLIER OF GOODS/SERVICES,70,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,2,D3100,0,0,B3100,2,TN,Individual,Africa,0.05,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,102.49035,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,COOPERANT,70,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,2,D3100,0,0,B3100,2,TN,Unknown,Africa,0.05,EDD Europe-Middle East Programming,Terminating,1,0,Uncoded,Northern Africa,389.71095,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,Unknown,70,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,2,D3100,0,0,B3100,2,EG,Governmental,Africa,0.08,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,106.00128000000001,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15150,Democratic participation and civil society,0.3
2009/2010,2,D3100,0,0,B3100,2,EG,Governmental,Africa,0.08,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,13604.75016,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15150,Democratic participation and civil society,0.3
2009/2010,2,D3100,0,0,B3100,2,EG,Civil Society,Africa,0.08,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,29.375999999999998,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,SUPPLIER OF GOODS/SERVICES,70,15150,Democratic participation and civil society,0.3
2009/2010,2,D3100,0,0,B3100,2,EG,Individual,Africa,0.08,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,163.98456000000002,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,COOPERANT,70,15150,Democratic participation and civil society,0.3
2009/2010,2,D3100,0,0,B3100,2,EG,Unknown,Africa,0.08,EDD Europe-Middle East Programming,Terminating,1,0,Uncoded,Northern Africa,623.53752,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,Unknown,70,15150,Democratic participation and civil society,0.3
2009/2010,2,D3100,0,0,B3100,2,EG,Governmental,Africa,0.08,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,141.33504,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15160,Human rights,0.4
2009/2010,2,D3100,0,0,B3100,2,EG,Governmental,Africa,0.08,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,18139.66688,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15160,Human rights,0.4
2009/2010,2,D3100,0,0,B3100,2,EG,Civil Society,Africa,0.08,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,39.168,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,SUPPLIER OF GOODS/SERVICES,70,15160,Human rights,0.4
2009/2010,2,D3100,0,0,B3100,2,EG,Individual,Africa,0.08,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,218.64607999999998,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,COOPERANT,70,15160,Human rights,0.4
2009/2010,2,D3100,0,0,B3100,2,EG,Unknown,Africa,0.08,EDD Europe-Middle East Programming,Terminating,1,0,Uncoded,Northern Africa,831.3833599999999,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,Unknown,70,15160,Human rights,0.4
2009/2010,2,D3100,0,0,B3100,2,EG,Governmental,Africa,0.08,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,106.00128000000001,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,2,D3100,0,0,B3100,2,EG,Governmental,Africa,0.08,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,13604.75016,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,2,D3100,0,0,B3100,2,EG,Civil Society,Africa,0.08,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,29.375999999999998,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,SUPPLIER OF GOODS/SERVICES,70,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,2,D3100,0,0,B3100,2,EG,Individual,Africa,0.08,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,163.98456000000002,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,COOPERANT,70,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,2,D3100,0,0,B3100,2,EG,Unknown,Africa,0.08,EDD Europe-Middle East Programming,Terminating,1,0,Uncoded,Northern Africa,623.53752,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,Unknown,70,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,2,D3100,0,0,B3100,2,MA,Governmental,Africa,0.1,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,132.5016,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15150,Democratic participation and civil society,0.3
2009/2010,2,D3100,0,0,B3100,2,MA,Governmental,Africa,0.1,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,17005.9377,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15150,Democratic participation and civil society,0.3
2009/2010,2,D3100,0,0,B3100,2,MA,Civil Society,Africa,0.1,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,36.72,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,SUPPLIER OF GOODS/SERVICES,70,15150,Democratic participation and civil society,0.3
2009/2010,2,D3100,0,0,B3100,2,MA,Individual,Africa,0.1,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,204.9807,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,COOPERANT,70,15150,Democratic participation and civil society,0.3
2009/2010,2,D3100,0,0,B3100,2,MA,Unknown,Africa,0.1,EDD Europe-Middle East Programming,Terminating,1,0,Uncoded,Northern Africa,779.4219,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,Unknown,70,15150,Democratic participation and civil society,0.3
2009/2010,2,D3100,0,0,B3100,2,MA,Governmental,Africa,0.1,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,176.6688,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15160,Human rights,0.4
2009/2010,2,D3100,0,0,B3100,2,MA,Governmental,Africa,0.1,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,22674.5836,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15160,Human rights,0.4
2009/2010,2,D3100,0,0,B3100,2,MA,Civil Society,Africa,0.1,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,48.96,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,SUPPLIER OF GOODS/SERVICES,70,15160,Human rights,0.4
2009/2010,2,D3100,0,0,B3100,2,MA,Individual,Africa,0.1,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,273.3076,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,COOPERANT,70,15160,Human rights,0.4
2009/2010,2,D3100,0,0,B3100,2,MA,Unknown,Africa,0.1,EDD Europe-Middle East Programming,Terminating,1,0,Uncoded,Northern Africa,1039.2292,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,Unknown,70,15160,Human rights,0.4
2009/2010,2,D3100,0,0,B3100,2,MA,Governmental,Africa,0.1,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,132.5016,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,2,D3100,0,0,B3100,2,MA,Governmental,Africa,0.1,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Northern Africa,17005.9377,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,70,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,2,D3100,0,0,B3100,2,MA,Civil Society,Africa,0.1,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,36.72,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,SUPPLIER OF GOODS/SERVICES,70,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,2,D3100,0,0,B3100,2,MA,Individual,Africa,0.1,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Northern Africa,204.9807,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,COOPERANT,70,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,2,D3100,0,0,B3100,2,MA,Unknown,Africa,0.1,EDD Europe-Middle East Programming,Terminating,1,0,Uncoded,Northern Africa,779.4219,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,Unknown,70,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,3,D3100,0,0,B3100,2,PS,Governmental,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Western Asia,26.500320000000002,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,130,15150,Democratic participation and civil society,0.3
2009/2010,3,D3100,0,0,B3100,2,PS,Governmental,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Western Asia,3401.18754,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,130,15150,Democratic participation and civil society,0.3
2009/2010,3,D3100,0,0,B3100,2,PS,Civil Society,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Western Asia,7.343999999999999,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,SUPPLIER OF GOODS/SERVICES,130,15150,Democratic participation and civil society,0.3
2009/2010,3,D3100,0,0,B3100,2,PS,Individual,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Western Asia,40.996140000000004,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,COOPERANT,130,15150,Democratic participation and civil society,0.3
2009/2010,3,D3100,0,0,B3100,2,PS,Unknown,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Uncoded,Western Asia,155.88438,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,Unknown,130,15150,Democratic participation and civil society,0.3
2009/2010,3,D3100,0,0,B3100,2,PS,Governmental,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Western Asia,35.33376,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,130,15160,Human rights,0.4
2009/2010,3,D3100,0,0,B3100,2,PS,Governmental,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Western Asia,4534.91672,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,130,15160,Human rights,0.4
2009/2010,3,D3100,0,0,B3100,2,PS,Civil Society,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Western Asia,9.792,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,SUPPLIER OF GOODS/SERVICES,130,15160,Human rights,0.4
2009/2010,3,D3100,0,0,B3100,2,PS,Individual,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Western Asia,54.661519999999996,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,COOPERANT,130,15160,Human rights,0.4
2009/2010,3,D3100,0,0,B3100,2,PS,Unknown,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Uncoded,Western Asia,207.84583999999998,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,Unknown,130,15160,Human rights,0.4
2009/2010,3,D3100,0,0,B3100,2,PS,Governmental,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Western Asia,26.500320000000002,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,130,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,3,D3100,0,0,B3100,2,PS,Governmental,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Western Asia,3401.18754,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,130,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,3,D3100,0,0,B3100,2,PS,Civil Society,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Western Asia,7.343999999999999,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,SUPPLIER OF GOODS/SERVICES,130,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,3,D3100,0,0,B3100,2,PS,Individual,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Western Asia,40.996140000000004,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,COOPERANT,130,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,3,D3100,0,0,B3100,2,PS,Unknown,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Uncoded,Western Asia,155.88438,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,Unknown,130,15220,"Civilian peace-building, conflict prevention and resolution",0.3
2009/2010,3,D3100,0,0,B3100,2,YE,Governmental,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Western Asia,26.500320000000002,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,130,15150,Democratic participation and civil society,0.3
2009/2010,3,D3100,0,0,B3100,2,YE,Governmental,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Non-Profit Making,Western Asia,3401.18754,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,FEDERAL,130,15150,Democratic participation and civil society,0.3
2009/2010,3,D3100,0,0,B3100,2,YE,Civil Society,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Western Asia,7.343999999999999,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,SUPPLIER OF GOODS/SERVICES,130,15150,Democratic participation and civil society,0.3
2009/2010,3,D3100,0,0,B3100,2,YE,Individual,Asia,0.02,EDD Europe-Middle East Programming,Terminating,1,0,Canadian Profit Making,Western Asia,40.996140000000004,1,Z020865001,0,0,0,S4256,1,0,0,0,0,0,0,Information not available,Information not available,COOPERANT,130,15150,Democratic participation and civil society,0.3
