SASSI,Descr,ASTAI,CURAB,VARI,ASSSUBCEFRAC,ASI,TII,CHI,SRI,BFO,ASSCA,ASTTY,ASSTR,RELATT,CEI,ASSTIS,DI,ASSORG,Ti,ASSTY,ASCETY,CONFSCO
,Removal of 238-Plutonium(IV) in urine 0-4 h (orally administered),,Autocuration,,,13754,1088.0,CHEMBL630595,1,BAO_0000019,,,,U,,Urine,12192,,22224,A,,0
,Removal of 238-Plutonium(IV) in urine 4-24 hr (orally administered),,Autocuration,,,13755,1088.0,CHEMBL630596,1,BAO_0000019,,,,U,,Urine,12192,,22224,A,,0
,Removal of 238-Plutonium(IV) in urine after 0-24 h,,Autocuration,,,13756,1088.0,CHEMBL630597,1,BAO_0000019,,,,U,,Urine,12192,,22224,A,,0
,Removal of 238-Plutonium(IV) in urine after 0-24 hr (orally administered),,Autocuration,,,13757,1088.0,CHEMBL630598,1,BAO_0000019,,,,U,,Urine,12192,,22224,A,,0
,Removal of 238-Plutonium(IV) in urine after 0-4 h,,Autocuration,,,13758,1088.0,CHEMBL630599,1,BAO_0000019,,,,U,,Urine,12192,,22224,A,,0
,Removal of 238-Plutonium(IV) in urine after 0-4 hr (orally administered),,Autocuration,,,13759,1088.0,CHEMBL630600,1,BAO_0000019,,,,U,,Urine,12192,,22224,A,,0
,Removal of 238-Plutonium(IV) in urine after 4-24 h,,Autocuration,,,13760,1088.0,CHEMBL630601,1,BAO_0000019,,,,U,,Urine,12192,,22224,A,,0
,Removal of 238-Plutonium(IV) in urine after 4-24 hr (orally administered),,Autocuration,,,13761,1088.0,CHEMBL630602,1,BAO_0000019,,,,U,,Urine,12192,,22224,A,,0
,Removal of 238-Plutonium(IV) in urine at 0-4 hr (orally administered),,Autocuration,,,13762,1088.0,CHEMBL630603,1,BAO_0000019,,,,U,,Urine,12192,,22224,A,,0
,Removal of 238-Plutonium(IV) in urine at 4-24 hr (orally administered),,Autocuration,,,13763,1088.0,CHEMBL630604,1,BAO_0000019,,,,U,,Urine,12192,,22224,A,,0
,Biodistribution in blood of Immature Female rat after 12 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,10116.0,Intermediate,,,13764,178.0,CHEMBL624869,1,BAO_0000218,,In vivo,,N,,Blood,12017,Rattus norvegicus,50597,A,,1
,Biodistribution in blood of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,10116.0,Intermediate,,,13765,178.0,CHEMBL624870,1,BAO_0000218,,In vivo,,N,,Blood,12017,Rattus norvegicus,50597,A,,1
,Biodistribution in blood of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the presence of (+E2),10116.0,Intermediate,,,13766,178.0,CHEMBL623189,1,BAO_0000218,,In vivo,,N,,Blood,12017,Rattus norvegicus,50597,A,,1
,Biodistribution in blood of Immature Female rat after 3 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,10116.0,Intermediate,,,13767,178.0,CHEMBL623190,1,BAO_0000218,,In vivo,,N,,Blood,12017,Rattus norvegicus,50597,A,,1
,Biodistribution in blood of Immature Female rat after 5 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,10116.0,Intermediate,,,13768,178.0,CHEMBL623191,1,BAO_0000218,,In vivo,,N,,Blood,12017,Rattus norvegicus,50597,A,,1
,Biodistribution in fat of Immature Female rat after 12 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,10116.0,Intermediate,,,13769,,CHEMBL623192,1,BAO_0000218,,In vivo,,N,,,12017,Rattus norvegicus,50597,A,,1
,Biodistribution in fat of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,10116.0,Intermediate,,,13770,,CHEMBL623193,1,BAO_0000218,,In vivo,,N,,,12017,Rattus norvegicus,50597,A,,1
,Biodistribution in fat of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the presence of (+E2),10116.0,Intermediate,,,13771,,CHEMBL623194,1,BAO_0000218,,In vivo,,N,,,12017,Rattus norvegicus,50597,A,,1
,Biodistribution in fat of Immature Female rat after 3 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,10116.0,Intermediate,,,13772,,CHEMBL623195,1,BAO_0000218,,In vivo,,N,,,12017,Rattus norvegicus,50597,A,,1
,Biodistribution in fat of Immature Female rat after 5 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,10116.0,Intermediate,,,13773,,CHEMBL623196,1,BAO_0000218,,In vivo,,N,,,12017,Rattus norvegicus,50597,A,,1
,Tested in vivo for the biodistribution in rat uterus/blood at 1 hour after intravenous dose of 15 microCi of the drug and 15 micro g of estradiol,10116.0,Intermediate,,,13774,,CHEMBL623197,1,BAO_0000218,,,,N,,,11836,Rattus norvegicus,50597,A,,1
,Tested in vivo for the biodistribution in rat uterus/blood at 1 hour after intravenous dose of 50 microCi of drug in 10%ethanol saline,10116.0,Intermediate,,,13775,,CHEMBL623198,1,BAO_0000218,,,,N,,,11836,Rattus norvegicus,50597,A,,1
,Tested in vivo for the biodistribution in rat uterus/blood at 1 hour after intravenous dose of 50 microCi of the drug and 15 ug of estradiol,10116.0,Intermediate,,,13776,,CHEMBL623199,1,BAO_0000218,,,,N,,,11836,Rattus norvegicus,50597,A,,1
,Tested in vivo for the biodistribution in rat uterus/muscle after 3 hours following an intravenous dose of 100 microCi of drug in 10%ethanol saline,10116.0,Intermediate,,,13777,2385.0,CHEMBL623200,1,BAO_0000218,,,,N,,Muscle tissue,11836,Rattus norvegicus,50597,A,,1
,Tested in vivo for the biodistribution in rat uterus/muscle after 3 hours following an intravenous dose of 120 microCi of drug in 10%ethanol saline,10116.0,Intermediate,,,13778,2385.0,CHEMBL623201,1,BAO_0000218,,,,N,,Muscle tissue,11836,Rattus norvegicus,50597,A,,1
,Tested in vivo for the biodistribution in rat uterus/muscle after 3 hours following an intravenous dose of 15 microCi of drug in 10%ethanol saline,10116.0,Intermediate,,,13779,2385.0,CHEMBL623202,1,BAO_0000218,,,,N,,Muscle tissue,11836,Rattus norvegicus,50597,A,,1
,Tested in vivo for the biodistribution in rat uterus/muscle after 3 hours following an intravenous dose of 50 microCi of drug in 10%ethanol saline,10116.0,Intermediate,,,13780,2385.0,CHEMBL623203,1,BAO_0000218,,,,N,,Muscle tissue,11836,Rattus norvegicus,50597,A,,1
,Tested in vivo for the biodistribution in rat uterus/muscle at 1 hour after intravenous dose of 100 microCi of drug in 10%ethanol saline,10116.0,Intermediate,,,13781,2385.0,CHEMBL623204,1,BAO_0000218,,,,N,,Muscle tissue,11836,Rattus norvegicus,50597,A,,1
,Tested in vivo for the biodistribution in rat uterus/muscle at 1 hour after intravenous dose of 100 microCi of the drug and 15 ug of estradiol,10116.0,Intermediate,,,13782,2385.0,CHEMBL623205,1,BAO_0000218,,,,N,,Muscle tissue,11836,Rattus norvegicus,50597,A,,1
,Tested in vivo for the biodistribution in rat uterus/muscle at 1 hour after intravenous dose of 120 microCi of drug in 10%ethanol saline,10116.0,Intermediate,,,13783,2385.0,CHEMBL623206,1,BAO_0000218,,,,N,,Muscle tissue,11836,Rattus norvegicus,50597,A,,1
,Tested in vivo for the biodistribution in rat uterus/muscle at 1 hour after intravenous dose of 120 microCi of the drug and 15 micro g of estradiol,10116.0,Intermediate,,,13784,2385.0,CHEMBL623207,1,BAO_0000218,,,,N,,Muscle tissue,11836,Rattus norvegicus,50597,A,,1
,Tested in vivo for the biodistribution in rat uterus/muscle at 1 hour after intravenous dose of 15 microCi of the drug and 15 ug of estradiol,10116.0,Intermediate,,,13785,2385.0,CHEMBL623208,1,BAO_0000218,,,,N,,Muscle tissue,11836,Rattus norvegicus,50597,A,,1
,Tested in vivo for the biodistribution in rat uterus/muscle at 1 hour after intravenous dose of 50 microCi of drug in 10%ethanol saline,10116.0,Intermediate,,,13786,2385.0,CHEMBL623209,1,BAO_0000218,,,,N,,Muscle tissue,11836,Rattus norvegicus,50597,A,,1
,Tested in vivo for the biodistribution in rat uterus/muscle at 1 hour after intravenous dose of 50 microCi of the drug and 15 ug of estradiol,10116.0,Intermediate,,,13787,2385.0,CHEMBL623210,1,BAO_0000218,,,,N,,Muscle tissue,11836,Rattus norvegicus,50597,A,,1
,Tested in vivo for the biodistribution in rat fat at 1 hour after intravenous dose of 50 microCi of drug in 10%ethanol saline,10116.0,Intermediate,,,13788,,CHEMBL623211,1,BAO_0000218,,,,N,,,11836,Rattus norvegicus,50597,A,,1
,Tested in vivo for the biodistribution in rat uterus at 1 hour after intravenous dose of 120 microCi of drug in 10%ethanol saline,10116.0,Intermediate,,,13789,995.0,CHEMBL623212,1,BAO_0000218,,,,N,,Uterus,11836,Rattus norvegicus,50597,A,,1
,Tested in vitro for intrinsic activity relative to quinpirole,,Autocuration,,,13790,,CHEMBL623213,1,BAO_0000019,,,,U,,,12640,,22224,A,,0
,"Relative ion enhancement, determined in pulsed ultrafiltration",,Autocuration,,,13791,,CHEMBL623214,1,BAO_0000019,,,,U,,,14218,,22224,A,,0
,% ionization at the pH 7.4 at 37 degree Centigrade,,Autocuration,,,13792,,CHEMBL623215,1,BAO_0000019,,,,U,,,11296,,22224,A,,0
,Percentage ionization was measured,,Autocuration,,,13793,,CHEMBL623216,1,BAO_0000019,,,,U,,,10929,,22224,A,,0
,Association constant of binding of compound with calf thymus DNA was determined by using equilibrium dialysis.,9913.0,Intermediate,,,13794,,CHEMBL623217,1,BAO_0000218,,,,N,,,13841,Bos taurus,50591,A,,1
,Compound was autooxidized for 2 hour at 37 degree Celsius in pH 7.4 Pseudo-first-order rate constant,,Autocuration,,,13795,,CHEMBL623218,1,BAO_0000019,,,,U,,,10431,,22224,A,,0
,Compound was autooxidized for 2 hour at 37 degree Celsius in pH 7.4 phosphate buffer Pseudo-first-order rate constant,,Autocuration,,,13796,,CHEMBL623913,1,BAO_0000019,,,,U,,,10431,,22224,A,,0
,Compound was autooxidized for 2 hour at 37 degree Celsius in pH 7.4 phosphate buffer pseudo-first-order rate constant 0.1 mM EDTA,,Autocuration,,,13797,,CHEMBL623914,1,BAO_0000019,,,,U,,,10431,,22224,A,,0
,Compound was evaluated for the partition coefficient in octanol/water,,Autocuration,,,13798,,CHEMBL623915,1,BAO_0000100,,,,U,,,8826,,22229,P,,0
,Compound was evaluated for the partition coefficient in octanol/water (1-octanol / 10 mM phosphate buffer at pH 7.4),,Autocuration,,,13799,,CHEMBL624080,1,BAO_0000100,,,,U,,,8826,,22229,P,,0
,Equilibrium constant measured by the pulse radiolysis at pH 7,,Autocuration,,,13800,,CHEMBL624081,1,BAO_0000019,,,,U,,,9884,,22224,A,,0
,In vitro hydrolytic rate constant determined in human blood,9606.0,Intermediate,,,13801,,CHEMBL624082,1,BAO_0000218,,,,N,,,9827,Homo sapiens,50587,A,,1
,In vitro oxidation of compound to its pyridinium salt (3) in presence of human plasma,9606.0,Intermediate,,,13802,,CHEMBL625054,1,BAO_0000218,,,,N,,,10009,Homo sapiens,50587,A,,1
,In vitro oxidation of compound to its pyridinium salt (3) in presence of hydrogen peroxide,,Autocuration,,,13803,,CHEMBL877485,1,BAO_0000019,,,,U,,,10009,,22224,A,,0
,In vitro oxidation of compound to its pyridinium salt (3) in presence of mouse brain homogenate,10090.0,Intermediate,,,13804,,CHEMBL625055,1,BAO_0000218,,,,N,,,10009,Mus musculus,50594,A,,1
,In vitro oxidation of compound to its pyridinium salt (3) in presence of mouse liver homogenate,10090.0,Intermediate,,,13805,,CHEMBL625056,1,BAO_0000218,,,,N,,,10009,Mus musculus,50594,A,,1
,In vitro oxidation of compound in presence of human plasma,9606.0,Intermediate,,,13806,,CHEMBL625057,1,BAO_0000218,,,,N,,,10009,Homo sapiens,50587,A,,1
,In vitro oxidation of compound in presence of hydrogen peroxide,,Autocuration,,,13807,,CHEMBL625058,1,BAO_0000019,,,,U,,,10009,,22224,A,,0
,In vitro oxidation of compound in presence of mouse brain homogenate,10090.0,Intermediate,,,13808,,CHEMBL625059,1,BAO_0000218,,,,N,,,10009,Mus musculus,50594,A,,1
,In vitro oxidation of compound in presence of mouse liver homogenate,10090.0,Intermediate,,,13809,,CHEMBL629536,1,BAO_0000218,,,,N,,,10009,Mus musculus,50594,A,,1
,Mean potassium excretion in rats when compound administered at 0 mg/kg po and vehicle dosed at 0 umol/kg,10116.0,Intermediate,,,13810,,CHEMBL629537,1,BAO_0000218,,,,N,,,11510,Rattus norvegicus,50597,A,,1
,Mean potassium excretion in rats when compound administered at 10 mg/kg po and vehicle dosed at 30.23 umol/kg,10116.0,Intermediate,,,13811,,CHEMBL629538,1,BAO_0000218,,,,N,,,11510,Rattus norvegicus,50597,A,,1
,Mean potassium excretion in rats when compound administered at 10 mg/kg po and vehicle dosed at 33.59 umol/kg,10116.0,Intermediate,,,13812,,CHEMBL629539,1,BAO_0000218,,,,N,,,11510,Rattus norvegicus,50597,A,,1
,Mean potassium excretion in rats when compound administered at 10 mg/kg po and vehicle dosed at 37.13 umol/kg,10116.0,Intermediate,,,13813,,CHEMBL874445,1,BAO_0000218,,,,N,,,11510,Rattus norvegicus,50597,A,,1
,Mean potassium excretion in rats when compound administered at 10 mg/kg po and vehicle dosed at 39.48 umol/kg,10116.0,Intermediate,,,13814,,CHEMBL629540,1,BAO_0000218,,,,N,,,11510,Rattus norvegicus,50597,A,,1
,Mean potassium excretion in rats when compound administered at 160 mg/kg po and vehicle dosed at 483.72 umol/kg,10116.0,Intermediate,,,13815,,CHEMBL629541,1,BAO_0000218,,,,N,,,11510,Rattus norvegicus,50597,A,,1
,Mean potassium excretion in rats when compound administered at 160 mg/kg po and vehicle dosed at 594.07 umol/kg,10116.0,Intermediate,,,13816,,CHEMBL629542,1,BAO_0000218,,,,N,,,11510,Rattus norvegicus,50597,A,,1
,Mean potassium excretion in rats when compound administered at 160 mg/kg po and vehicle dosed at 594.07 umol/kg; Not determined,10116.0,Intermediate,,,13817,,CHEMBL630243,1,BAO_0000218,,,,N,,,11510,Rattus norvegicus,50597,A,,1
,Mean potassium excretion in rats when compound administered at 160 mg/kg po and vehicle dosed at 631.76 umol/kg,10116.0,Intermediate,,,13818,,CHEMBL630244,1,BAO_0000218,,,,N,,,11510,Rattus norvegicus,50597,A,,1
,Mean potassium excretion in rats when compound administered at 2.5 mg/kg po and vehicle dosed at 7.56 umol/kg,10116.0,Intermediate,,,13819,,CHEMBL630245,1,BAO_0000218,,,,N,,,11510,Rattus norvegicus,50597,A,,1
,Mean potassium excretion in rats when compound administered at 2.5 mg/kg po and vehicle dosed at 8.4 umol/kg,10116.0,Intermediate,,,13820,,CHEMBL630246,1,BAO_0000218,,,,N,,,11510,Rattus norvegicus,50597,A,,1
,Mean potassium excretion in rats when compound administered at 2.5 mg/kg po and vehicle dosed at 9.28 umol/kg,10116.0,Intermediate,,,13821,,CHEMBL630247,1,BAO_0000218,,,,N,,,11510,Rattus norvegicus,50597,A,,1
,Mean potassium excretion in rats when compound administered at 2.5 mg/kg po and vehicle dosed at 9.87 umol/kg,10116.0,Intermediate,,,13822,,CHEMBL630248,1,BAO_0000218,,,,N,,,11510,Rattus norvegicus,50597,A,,1
,Biodistribution in rat blood at 240 minutes after dose administration.,10116.0,Intermediate,,,13823,178.0,CHEMBL630249,1,BAO_0000218,,In vivo,,N,,Blood,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat blood at 30 minutes after dose administration.,10116.0,Intermediate,,,13824,178.0,CHEMBL630250,1,BAO_0000218,,In vivo,,N,,Blood,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat blood at 360 minutes after dose administration.,10116.0,Intermediate,,,13825,178.0,CHEMBL630251,1,BAO_0000218,,In vivo,,N,,Blood,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat blood at 3 hr after dose administration.,10116.0,Intermediate,,,13826,178.0,CHEMBL630252,1,BAO_0000218,,In vivo,,N,,Blood,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat blood at 60 minutes after dose administration.,10116.0,Intermediate,,,13827,178.0,CHEMBL630408,1,BAO_0000218,,In vivo,,N,,Blood,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat cerebellum at 120 minutes after dose administration.,10116.0,Intermediate,,,13828,2037.0,CHEMBL630409,1,BAO_0000218,,In vivo,,N,,Cerebellum,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat cerebellum at 1440 minutes after dose administration.,10116.0,Intermediate,,,13829,2037.0,CHEMBL874446,1,BAO_0000218,,In vivo,,N,,Cerebellum,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat cerebellum at 15 minutes after dose administration.,10116.0,Intermediate,,,13830,2037.0,CHEMBL630410,1,BAO_0000218,,In vivo,,N,,Cerebellum,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat cerebellum at 240 minutes after dose administration.,10116.0,Intermediate,,,13831,2037.0,CHEMBL630411,1,BAO_0000218,,In vivo,,N,,Cerebellum,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat cerebellum at 30 minutes after dose administration.,10116.0,Intermediate,,,13832,2037.0,CHEMBL630412,1,BAO_0000218,,In vivo,,N,,Cerebellum,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat cerebellum at 360 minutes after dose administration.,10116.0,Intermediate,,,13833,2037.0,CHEMBL630413,1,BAO_0000218,,In vivo,,N,,Cerebellum,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat cerebellum at 3 hr after dose administration.,10116.0,Intermediate,,,13834,2037.0,CHEMBL630414,1,BAO_0000218,,In vivo,,N,,Cerebellum,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat cerebellum at 60 minutes after dose administration.,10116.0,Intermediate,,,13835,2037.0,CHEMBL630415,1,BAO_0000218,,In vivo,,N,,Cerebellum,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat cortex at 120 minutes after dose administration.,10116.0,Intermediate,,,13836,,CHEMBL630416,1,BAO_0000218,,In vivo,,N,,,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat cortex at 1440 minutes after dose administration.,10116.0,Intermediate,,,13837,,CHEMBL630417,1,BAO_0000218,,In vivo,,N,,,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat cortex at 15 minutes after dose administration.,10116.0,Intermediate,,,13838,,CHEMBL630418,1,BAO_0000218,,In vivo,,N,,,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat cortex at 240 minutes after dose administration.,10116.0,Intermediate,,,13839,,CHEMBL630419,1,BAO_0000218,,In vivo,,N,,,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat cortex at 30 minutes after dose administration.,10116.0,Intermediate,,,13840,,CHEMBL630420,1,BAO_0000218,,In vivo,,N,,,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat cortex at 360 minutes after dose administration.,10116.0,Intermediate,,,13841,,CHEMBL630421,1,BAO_0000218,,In vivo,,N,,,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat cortex at 3 hr after dose administration.,10116.0,Intermediate,,,13842,,CHEMBL630422,1,BAO_0000218,,In vivo,,N,,,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat cortex at 60 minutes after dose administration.,10116.0,Intermediate,,,13843,,CHEMBL630423,1,BAO_0000218,,In vivo,,N,,,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat heart at 120 minutes after dose administration.,10116.0,Intermediate,,,13844,948.0,CHEMBL630424,1,BAO_0000218,,In vivo,,N,,Heart,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat heart at 15 minutes after dose administration.,10116.0,Intermediate,,,13845,948.0,CHEMBL630425,1,BAO_0000218,,In vivo,,N,,Heart,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat heart at 240 minutes after dose administration.,10116.0,Intermediate,,,13846,948.0,CHEMBL629462,1,BAO_0000218,,In vivo,,N,,Heart,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat heart at 30 minutes after dose administration.,10116.0,Intermediate,,,13847,948.0,CHEMBL630426,1,BAO_0000218,,In vivo,,N,,Heart,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat heart at 360 minutes after dose administration.,10116.0,Intermediate,,,13848,948.0,CHEMBL630427,1,BAO_0000218,,In vivo,,N,,Heart,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat heart at 3 hr after dose administration.,10116.0,Intermediate,,,13849,948.0,CHEMBL625877,1,BAO_0000218,,In vivo,,N,,Heart,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat heart at 60 minutes after dose administration.,10116.0,Intermediate,,,13850,948.0,CHEMBL625878,1,BAO_0000218,,In vivo,,N,,Heart,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat hippocampus at 1440 minutes after dose administration.,10116.0,Intermediate,,,13851,10000000.0,CHEMBL625879,1,BAO_0000218,,In vivo,,N,,Hippocampus,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat hippocampus at 240 minutes after dose administration.,10116.0,Intermediate,,,13852,10000000.0,CHEMBL625880,1,BAO_0000218,,In vivo,,N,,Hippocampus,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat hippocampus at 30 minutes after dose administration.,10116.0,Intermediate,,,13853,10000000.0,CHEMBL625881,1,BAO_0000218,,In vivo,,N,,Hippocampus,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat hippocampus at 360 minutes after dose administration.,10116.0,Intermediate,,,13854,10000000.0,CHEMBL625882,1,BAO_0000218,,In vivo,,N,,Hippocampus,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat hippocampus at 15 minutes after dose administration.,10116.0,Intermediate,,,13855,10000000.0,CHEMBL625883,1,BAO_0000218,,In vivo,,N,,Hippocampus,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat kidney at 120 minutes after dose administration.,10116.0,Intermediate,,,13856,2113.0,CHEMBL625884,1,BAO_0000218,,In vivo,,N,,Kidney,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat kidney at 1440 minutes after dose administration.,10116.0,Intermediate,,,13857,2113.0,CHEMBL625885,1,BAO_0000218,,In vivo,,N,,Kidney,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat kidney at 15 minutes after dose administration.,10116.0,Intermediate,,,13858,2113.0,CHEMBL628649,1,BAO_0000218,,In vivo,,N,,Kidney,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat kidney at 240 minutes after dose administration.,10116.0,Intermediate,,,13859,2113.0,CHEMBL628650,1,BAO_0000218,,In vivo,,N,,Kidney,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat kidney at 30 minutes after dose administration.,10116.0,Intermediate,,,13860,2113.0,CHEMBL628651,1,BAO_0000218,,In vivo,,N,,Kidney,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat kidney at 360 minutes after dose administration.,10116.0,Intermediate,,,13861,2113.0,CHEMBL628652,1,BAO_0000218,,In vivo,,N,,Kidney,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat kidney at 60 minutes after dose administration.,10116.0,Intermediate,,,13862,2113.0,CHEMBL628653,1,BAO_0000218,,In vivo,,N,,Kidney,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat liver at 120 minutes after dose administration.,10116.0,Intermediate,,,13863,2107.0,CHEMBL628654,1,BAO_0000218,,In vivo,,N,,Liver,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat liver at 1440 minutes after dose administration.,10116.0,Intermediate,,,13864,2107.0,CHEMBL628655,1,BAO_0000218,,In vivo,,N,,Liver,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat liver at 15 minutes after dose administration.,10116.0,Intermediate,,,13865,2107.0,CHEMBL625238,1,BAO_0000218,,In vivo,,N,,Liver,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat liver at 240 minutes after dose administration.,10116.0,Intermediate,,,13866,2107.0,CHEMBL625239,1,BAO_0000218,,In vivo,,N,,Liver,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat liver at 30 minutes after dose administration.,10116.0,Intermediate,,,13867,2107.0,CHEMBL625240,1,BAO_0000218,,In vivo,,N,,Liver,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat liver at 360 minutes after dose administration.,10116.0,Intermediate,,,13868,2107.0,CHEMBL625241,1,BAO_0000218,,In vivo,,N,,Liver,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat liver at 60 minutes after dose administration.,10116.0,Intermediate,,,13869,2107.0,CHEMBL625242,1,BAO_0000218,,In vivo,,N,,Liver,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat lung at 120 minutes after dose administration.,10116.0,Intermediate,,,13870,2048.0,CHEMBL874587,1,BAO_0000218,,In vivo,,N,,Lung,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat lung at 1440 minutes after dose administration.,10116.0,Intermediate,,,13871,2048.0,CHEMBL625405,1,BAO_0000218,,In vivo,,N,,Lung,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat lung at 15 minutes after dose administration.,10116.0,Intermediate,,,13872,2048.0,CHEMBL625406,1,BAO_0000218,,In vivo,,N,,Lung,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat lung at 240 minutes after dose administration.,10116.0,Intermediate,,,13873,2048.0,CHEMBL625407,1,BAO_0000218,,In vivo,,N,,Lung,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat lung at 30 minutes after dose administration.,10116.0,Intermediate,,,13874,2048.0,CHEMBL625408,1,BAO_0000218,,In vivo,,N,,Lung,13100,Rattus norvegicus,50597,A,,1
,Biodistribution in rat lung at 360 minutes after dose administration.,10116.0,Intermediate,,,13875,2048.0,CHEMBL625409,1,BAO_0000218,,In vivo,,N,,Lung,13100,Rattus norvegicus,50597,A,,1
,Percent of maximal contractile response to compound in rat thoracic aorta strips in the presence of calcium deficient buffer,10116.0,Intermediate,,,13876,1515.0,CHEMBL625410,1,BAO_0000218,,,,N,,Thoracic aorta,12361,Rattus norvegicus,50597,A,,1
,Percent of maximal contractile response to compound in rat thoracic aorta strips in the presence of nifedipine,10116.0,Intermediate,,,13877,1515.0,CHEMBL625411,1,BAO_0000218,,,,N,,Thoracic aorta,12361,Rattus norvegicus,50597,A,,1
,Percent of maximal contractile response to compound in rat thoracic aorta strips in the presence of verapamil,10116.0,Intermediate,,,13878,1515.0,CHEMBL625412,1,BAO_0000218,,,,N,,Thoracic aorta,12361,Rattus norvegicus,50597,A,,1
,Percent of maximal contractile response to compound in rat thoracic aorta strips presence of PBZ and CIR,10116.0,Intermediate,,,13879,1515.0,CHEMBL625413,1,BAO_0000218,,,,N,,Thoracic aorta,12361,Rattus norvegicus,50597,A,,1
,Percent of maximal contractile response to compound in rat thoracic aorta strips v,10116.0,Intermediate,,,13880,1515.0,CHEMBL625414,1,BAO_0000218,,,,N,,Thoracic aorta,12361,Rattus norvegicus,50597,A,,1
,Percent of maximal contractile response to compound with phenoxybenzamine pretreatment on rat thoracic aorta strips,10116.0,Intermediate,,,13881,1515.0,CHEMBL625415,1,BAO_0000218,,,,N,,Thoracic aorta,12361,Rattus norvegicus,50597,A,,1
,Percent of maximal contractile response to compound without phenoxybenzamine pretreatment on rat thoracic aorta strips,10116.0,Intermediate,,,13882,1515.0,CHEMBL625416,1,BAO_0000218,,,,N,,Thoracic aorta,12361,Rattus norvegicus,50597,A,,1
,% of the total radioactive dose of compound present in the 0-24 hour urine after a single 5 mg/kg dose administered intravenously in rats,10116.0,Intermediate,,,13883,1088.0,CHEMBL625417,1,BAO_0000218,,,,N,,Urine,12712,Rattus norvegicus,50597,A,,1
