assay_id,tid,assay_cell_type,assay_organism,assay_tissue,description,doc_id,assay_type,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_subcellular_fraction,relationship_type
13929,50597,,Rattus norvegicus,Liver,Biodistribution in liver of Immature Female rat after 12 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13930,50597,,Rattus norvegicus,Liver,Biodistribution in liver of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13931,50597,,Rattus norvegicus,Liver,Biodistribution in liver of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the presence of (+E2),12017,A,In vivo,,10116.0,,,N
13932,50597,,Rattus norvegicus,Liver,Biodistribution in liver of Immature Female rat after 3 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13933,50597,,Rattus norvegicus,Liver,Biodistribution in liver of Immature Female rat after 5 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13934,50597,,Rattus norvegicus,Lung,Biodistribution in lungs of Immature Female rat after 12 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13935,50597,,Rattus norvegicus,Lung,Biodistribution in lungs of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13936,50597,,Rattus norvegicus,Lung,Biodistribution in lungs of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the presence of (+E2),12017,A,In vivo,,10116.0,,,N
13937,50597,,Rattus norvegicus,Lung,Biodistribution in lungs of Immature Female rat after 3 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13938,50597,,Rattus norvegicus,Lung,Biodistribution in lungs of Immature Female rat after 5 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13939,50597,,Rattus norvegicus,Muscle tissue,Biodistribution in muscle of Immature Female rat after 12 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13940,50597,,Rattus norvegicus,Muscle tissue,Biodistribution in muscle of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13941,50597,,Rattus norvegicus,Muscle tissue,Biodistribution in muscle of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the presence of (+E2),12017,A,In vivo,,10116.0,,,N
13942,50597,,Rattus norvegicus,Muscle tissue,Biodistribution in muscle of Immature Female rat after 3 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13943,50597,,Rattus norvegicus,Muscle tissue,Biodistribution in muscle of Immature Female rat after 5 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13944,50597,,Rattus norvegicus,Spleen,Biodistribution in spleen of Immature Female rat after 12 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13945,50597,,Rattus norvegicus,Spleen,Biodistribution in spleen of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13946,50597,,Rattus norvegicus,Spleen,Biodistribution in spleen of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the presence of (+E2),12017,A,In vivo,,10116.0,,,N
13947,50597,,Rattus norvegicus,Spleen,Biodistribution in spleen of Immature Female rat after 3 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13948,50597,,Rattus norvegicus,Spleen,Biodistribution in spleen of Immature Female rat after 5 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13949,50597,,Rattus norvegicus,Thyroid gland,Biodistribution in thyroid of Immature Female rat after 12 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13950,50597,,Rattus norvegicus,Thyroid gland,Biodistribution in thyroid of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13951,50597,,Rattus norvegicus,Thyroid gland,Biodistribution in thyroid of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the presence of (+E2),12017,A,In vivo,,10116.0,,,N
13952,50597,,Rattus norvegicus,Thyroid gland,Biodistribution in thyroid of Immature Female rat after 3 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13953,50597,,Rattus norvegicus,Thyroid gland,Biodistribution in thyroid of Immature Female rat after 5 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13954,50597,,Rattus norvegicus,,Biodistribution in uterus / blood of Immature Female rat after 12 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13955,50597,,Rattus norvegicus,,Biodistribution in uterus / blood of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13956,50597,,Rattus norvegicus,,Biodistribution in uterus / blood of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the presence of (+E2),12017,A,In vivo,,10116.0,,,N
13957,50597,,Rattus norvegicus,,Biodistribution in uterus / blood of Immature Female rat after 3 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13958,50597,,Rattus norvegicus,,Biodistribution in uterus / blood of Immature Female rat after 5 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol,12017,A,In vivo,,10116.0,,,N
13959,50597,,Rattus norvegicus,Spleen,"Biodistribution in uterus / spleen, muscle, lungs of Immature Female rat after 12 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol",12017,A,In vivo,,10116.0,,,N
13960,50597,,Rattus norvegicus,Spleen,"Biodistribution in uterus / spleen, muscle, lungs of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol",12017,A,In vivo,,10116.0,,,N
13961,50597,,Rattus norvegicus,Spleen,"Biodistribution in uterus / spleen, muscle, lungs of Immature Female rat after 1 hr administration of 3 micro Ci (111 kBq) in the presence of (+E2)",12017,A,In vivo,,10116.0,,,N
13962,50597,,Rattus norvegicus,Spleen,"Biodistribution in uterus / spleen, muscle, lungs of Immature Female rat after 3 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol",12017,A,In vivo,,10116.0,,,N
13963,50597,,Rattus norvegicus,Spleen,"Biodistribution in uterus / spleen, muscle, lungs of Immature Female rat after 5 hour administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol",12017,A,In vivo,,10116.0,,,N
13964,50597,,Rattus norvegicus,Spleen,"Biodistribution in uterus / spleen, muscle, lungs of immature female rat after 1 hr administration of 3 micro Ci (111 kBq) in the absence of 60 microg estradiol",12017,A,In vivo,,10116.0,,,N
13965,50597,,Rattus norvegicus,,Mean potassium excretion in rats when compound administered at 20 mg/kg po and vehicle dosed at 60.46 umol/kg,11510,A,,,10116.0,,,N
13966,50597,,Rattus norvegicus,,Mean potassium excretion in rats when compound administered at 20 mg/kg po and vehicle dosed at 67.18 umol/kg,11510,A,,,10116.0,,,N
13967,50597,,Rattus norvegicus,,Mean potassium excretion in rats when compound administered at 20 mg/kg po and vehicle dosed at 74.26 umol/kg,11510,A,,,10116.0,,,N
13968,50597,,Rattus norvegicus,,Mean potassium excretion in rats when compound administered at 20 mg/kg po and vehicle dosed at 78.97 umol/kg,11510,A,,,10116.0,,,N
13969,50597,,Rattus norvegicus,,Mean potassium excretion in rats when compound administered at 40 mg/kg po and vehicle dosed at 120.93 umol/kg,11510,A,,,10116.0,,,N
13970,50597,,Rattus norvegicus,,Mean potassium excretion in rats when compound administered at 40 mg/kg po and vehicle dosed at 134.35 umol/kg,11510,A,,,10116.0,,,N
13971,50597,,Rattus norvegicus,,Mean potassium excretion in rats when compound administered at 40 mg/kg po and vehicle dosed at 148.52 umol/kg,11510,A,,,10116.0,,,N
13972,50597,,Rattus norvegicus,,Mean potassium excretion in rats when compound administered at 40 mg/kg po and vehicle dosed at 157.94 umol/kg,11510,A,,,10116.0,,,N
13973,50597,,Rattus norvegicus,,Mean potassium excretion in rats when compound administered at 5 mg/kg po and vehicle dosed at 15.12 umol/kg,11510,A,,,10116.0,,,N
13974,50597,,Rattus norvegicus,,Mean potassium excretion in rats when compound administered at 5 mg/kg po and vehicle dosed at 16.79 umol/kg,11510,A,,,10116.0,,,N
13975,50597,,Rattus norvegicus,,Mean potassium excretion in rats when compound administered at 5 mg/kg po and vehicle dosed at 18.56 umol/kg,11510,A,,,10116.0,,,N
13976,50597,,Rattus norvegicus,,Mean potassium excretion in rats when compound administered at 5 mg/kg po and vehicle dosed at 19.74 umol/kg,11510,A,,,10116.0,,,N
13977,50597,,Rattus norvegicus,,Mean potassium excretion in rats when compound administered at 80 mg/kg po and vehicle dosed at 241.86 umol/kg,11510,A,,,10116.0,,,N
13978,50597,,Rattus norvegicus,,Mean potassium excretion in rats when compound administered at 80 mg/kg po and vehicle dosed at 268.71 umol/kg,11510,A,,,10116.0,,,N
13979,50597,,Rattus norvegicus,,Mean potassium excretion in rats when compound administered at 80 mg/kg po and vehicle dosed at 297.03 umol/kg,11510,A,,,10116.0,,,N
13980,50597,,Rattus norvegicus,,Mean potassium excretion in rats when compound administered at 80 mg/kg po and vehicle dosed at 315.88 umol/kg,11510,A,,,10116.0,,,N
13981,22229,,,,Octanol:water partition coefficient is evaluated,8362,P,,,,,,U
13982,22224,,,,Partition coefficient in 1-octanol/water system,8257,P,,,,,,U
13983,22224,,,,Partition coefficient in 1-octanol/water system measured using radio active compounds,8257,P,,,,,,U
13984,22224,,,,Partition coefficient in octanol/water system was determined,9468,P,,,,,,U
13985,22224,,,,Partition coefficient in octanol/water system was determined using [14C]-labeled compounds.,9468,P,,,,,,U
13986,22224,,,,Pseudo-first-order rate constant at pH 10 and 35 degrees Centigrade,10568,A,,,,,,U
13987,22224,,,,"Pseudo-first-order rate constant at pH 10, micro=0.5, 35 degrees Centigrade",10568,A,,,,,,U
13988,22224,,,,Pseudo-first-order rate constant of the compound,15359,A,,,,,,U
13989,22224,,,,Pseudo-first-order rate constant with 1-min time point,15359,A,,,,,,U
13990,22224,,,,Pseudo-first-order rate constant without 1-min time point,15359,A,,,,,,U
13991,22224,,,,Pseudo-first-order rate constant was determined in pH 7.4 phosphate buffer in presence 0.5 mM EDTA,10431,A,,,,,,U
13992,22224,,,,Pseudo-first-order rate constant was determined in pH 7.4 phosphate buffer in presence 50 mM EDTA,10431,A,,,,,,U
13993,22224,,,,Pseudo-first-order rate constant was determined in pH 7.4 phosphate buffer in presence 70 mM EDTA,10431,A,,,,,,U
13994,22224,,,,Rate constants determined using 31P NMR Kinetics experiments at 37 degrees Centigrade,15704,A,,,,,,U
13995,22224,,,,The alkaline hydrolysis second order rate constant(K OH) of the compound,15287,A,,,,,,U
13996,22224,,,,The efflux rate constant of the compound,7516,A,,,,,,U
13997,22224,,,,The reaction rate constant (K) by measuring competition with nitroblue tetrazolium of the superoxide radicals formed by xanthine oxidase/xanthine,12973,A,,,,,,U
13998,22224,,,,The reaction rate constant(K) by measuring competition with nitroblue tetrazolium of the superoxide radicals formed by xanthine oxidase/xanthine,12973,A,,,,,,U
13999,22224,,,,The reaction rate constant(K) by measuring competition with nitroblue tetrazolium of the superoxide radicals formed by xanthine oxidase/xanthine,12973,F,,,,,,U
14000,22224,,,,The reaction rate constant(K) by measuring competition with nitroblue tetrazolium of the superoxide radicals formed by xanthine oxidase/xanthine; ND= not determined,12973,A,,,,,,U
14001,22224,,,,Association constant was evaluated towards synthetic peptidoglycan analogue Ac2-Lys-D-Ala-D-Ala,8696,A,,,,,,U
14002,22224,,,,Equilibrium association (binding) constant interacting with Unilamellar Vesicles of electroneutral DMPC in PBSbuffer at pH 7.4 and 37 C,15052,A,,,,,,U
14003,22224,,,,Equilibrium association (binding) constant interacting with Unilamellar Vesicles of negatively charged DMPG in PBS buffer at pH 7.4 and 37 C,15052,A,,,,,,U
14004,22224,,,,Evaluated for the mustard reactivity by determining rate constant for hydrolysis of mustard in aqueous acetone (K H),10503,A,,,,,,U
14005,22224,,,,"Effective biomolecular rate constant at the concentration 0.500 mM [HOX] in the conditions of 25degreeC,pH 7.6",8354,A,,,,,,U
14006,22224,,,,"Effective biomolecular rate constant at the concentration 0.767 mM [HOX] in the conditions of 25degreeC,pH 7.6",8354,A,,,,,,U
14007,22224,,,,"Effective biomolecular rate constant at the concentration 0.790 mM [HOX] in the conditions of 25degreeC,pH 7.6",8354,A,,,,,,U
14008,22224,,,,"Effective biomolecular rate constant at the concentration 1.00 mM [HOX] in the conditions of 25degreeC,pH 7.6",8354,A,,,,,,U
14009,22224,,,,"Effective biomolecular rate constant in the conditions of 25degreeC,pH 7.6",8354,A,,,,,,U
14010,22224,,,,Evaluated for the mustard reactivity by determining rate constant for alkylation of 4-(4-nitrobenzyl)pyridine using NBP alkylation assay,10503,A,,,,,,U
14011,22224,,,,"Biomolecular rate constant for reactivation and measure of the inherent reactivity of the oximate form of the reactivator at the concentration 0.500 mM [HOX] in the conditions of 25degreeC,pH 7.6",8354,A,,,,,,U
14012,22224,,,,"Biomolecular rate constant for reactivation and measure of the inherent reactivity of the oximate form of the reactivator at the concentration 0.767 mM [HOX] in the conditions of 25degreeC,pH 7.6",8354,A,,,,,,U
14013,22224,,,,"Biomolecular rate constant for reactivation and measure of the inherent reactivity of the oximate form of the reactivator at the concentration 0.790 mM [HOX] in the conditions of 25degreeC,pH 7.6",8354,A,,,,,,U
14014,22224,,,,"Biomolecular rate constant for reactivation and measure of the inherent reactivity of the oximate form of the reactivator at the concentration 1.00 mM [HOX] in the conditions of 25degreeC,pH 7.6",8354,A,,,,,,U
14015,50597,,Rattus norvegicus,Lung,Biodistribution in rat lung at 60 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14016,50597,,Rattus norvegicus,,Biodistribution in rat pons/medulla at 120 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14017,50597,,Rattus norvegicus,,Biodistribution in rat pons/medulla at 15 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14018,50597,,Rattus norvegicus,,Biodistribution in rat pons/medulla at 240 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14019,50597,,Rattus norvegicus,,Biodistribution in rat pons/medulla at 30 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14020,50597,,Rattus norvegicus,,Biodistribution in rat pons/medulla at 360 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14021,50597,,Rattus norvegicus,,Biodistribution in rat pons/medulla at 60 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14022,50597,,Rattus norvegicus,Striatum,Biodistribution in rat striatum at 120 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14023,50597,,Rattus norvegicus,Striatum,Biodistribution in rat striatum at 1440 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14024,50597,,Rattus norvegicus,Striatum,Biodistribution in rat striatum at 15 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14025,50597,,Rattus norvegicus,Striatum,Biodistribution in rat striatum at 240 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14026,50597,,Rattus norvegicus,Striatum,Biodistribution in rat striatum at 30 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14027,50597,,Rattus norvegicus,Striatum,Biodistribution in rat striatum at 360 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14028,50597,,Rattus norvegicus,Striatum,Biodistribution in rat striatum at 3 hr after dose administration.,13100,A,In vivo,,10116.0,,,N
14029,50597,,Rattus norvegicus,Striatum,Biodistribution in rat striatum at 60 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14030,50597,,Rattus norvegicus,Thyroid gland,Biodistribution in rat thyroid at 120 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14031,50597,,Rattus norvegicus,Thyroid gland,Biodistribution in rat thyroid at 1440 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14032,50597,,Rattus norvegicus,Thyroid gland,Biodistribution in rat thyroid at 15 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14033,50597,,Rattus norvegicus,Thyroid gland,Biodistribution in rat thyroid at 240 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14034,50597,,Rattus norvegicus,Thyroid gland,Biodistribution in rat thyroid at 30 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14035,50597,,Rattus norvegicus,Thyroid gland,Biodistribution in rat thyroid at 360 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14036,50597,,Rattus norvegicus,Thyroid gland,Biodistribution in rat thyroid at 60 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14037,50597,,Rattus norvegicus,Brain,Biodistribution in rest of brain of rat 120 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14038,50597,,Rattus norvegicus,Brain,Biodistribution in rest of brain of rat at 1440 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14039,50597,,Rattus norvegicus,Brain,Biodistribution in rest of brain of rat at 15 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14040,50597,,Rattus norvegicus,Brain,Biodistribution in rest of brain of rat at 240 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14041,50597,,Rattus norvegicus,Brain,Biodistribution in rest of brain of rat at 30 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14042,50597,,Rattus norvegicus,Brain,Biodistribution in rest of brain of rat at 360 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14043,50597,,Rattus norvegicus,Brain,Biodistribution in rest of brain of rat at 60 minutes after dose administration.,13100,A,In vivo,,10116.0,,,N
14044,22224,,,,"Mean rate constant for the hydrolysis of compound in buffers at pH 6.5, at 37 degrees Celsius in incubation mixture - d(A)-d(T) (10:1)",13331,A,,,,,,U
14045,22224,,,,"Mean rate constant for the hydrolysis of compound in buffers at pH 6.5, at 37 degrees Celsius in incubation mixture - d(G)-d(C) (10:1)",13331,A,,,,,,U
14046,22224,,,,Mean rate constant for the hydrolysis of compound in buffers at pH 7.4 at 37 degrees Centigrade in incubation mixture - d(A)-d(T) (10:!),13331,A,,,,,,U
14047,22224,,,,"Mean rate constant for the hydrolysis of compound in buffers at pH 7.4, at 37 degrees Celsius in incubation mixture - 5'-GMP/5'-CMP (1:1)",13331,A,,,,,,U
14048,22224,,,,"Mean rate constant for the hydrolysis of compound in buffers at pH 7.4, at 37 degrees Celsius in incubation mixture - d(A)-d(T) (1:1)",13331,A,,,,,,U
14049,22224,,,,"Mean rate constant for the hydrolysis of compound in buffers at pH 7.4, at 37 degrees Celsius in incubation mixture - d(G)-d(C) (10:1)",13331,A,,,,,,U
14050,22224,,,,"Mean rate constant for the hydrolysis of compound in buffers at pH 7.4, at 37 degrees Celsius in incubation mixture - d(G)-d(C) (1:1)",13331,A,,,,,,U
14051,22224,,,,"Mean rate constant for the hydrolysis of compound in buffers at pH 7.4, at 37 degrees Celsius in incubation mixture - d(G)-d(T) (10:1)",13331,A,,,,,,U
14052,50597,,Rattus norvegicus,Urine,Mean urine volume excretion in conscious rats at a dose of 0.3 mg/kg given orally,10086,A,,,10116.0,,,N
14053,22224,,,Urine,Mean urine volume excretion in conscious rats at a dose of 0.3 mg/kg given orally,10086,F,,,,,,U
14054,50597,,Rattus norvegicus,Urine,Mean urine volume excretion in conscious rats at a dose of 1.0 mg/kg given orally,10086,A,,,10116.0,,,N
14055,22224,,,Urine,Mean urine volume excretion in conscious rats at a dose of 1.0 mg/kg given orally,10086,F,,,,,,U
14056,50597,,Rattus norvegicus,Urine,Mean urine volume excretion in conscious rats at a dose of 10 mg/kg given orally,10086,A,,,10116.0,,,N
14057,50597,,Rattus norvegicus,Urine,Mean urine volume excretion in conscious rats at a dose of 100 mg/kg given orally,10086,A,,,10116.0,,,N
14058,50597,,Rattus norvegicus,Urine,Mean urine volume excretion in conscious rats at a dose of 3.0 mg/kg given orally,10086,A,,,10116.0,,,N
14059,50597,,Rattus norvegicus,Urine,Mean urine volume excretion in conscious rats at a dose of 30 mg/kg given orally,10086,A,,,10116.0,,,N
14060,50597,,Rattus norvegicus,,In vitro metabolic stability of the test compound was evaluated after incubation in the presence of freshly isolated rat hepatocytes,13248,A,,,10116.0,,,N
14061,50597,,Rattus norvegicus,,In vitro metabolic stability of the test compound was evaluated after incubation in the presence of freshly isolated rat hepatocytes; NA= Not tested,13248,A,,,10116.0,,,N
14062,50587,,Homo sapiens,Liver,In vitro metabolism in human liver microsomes,14527,A,,,9606.0,,,N
14063,50587,,Homo sapiens,,Metabolism (NADH oxidation) by recombinant human NAD(P)H: quinone oxidoreductase (NQO1) is evaluated.,3008,A,,,9606.0,,,N
14064,50588,,Canis lupus familiaris,Urine,Total electrolytic excretion of chlorine in urine of dogs after peroral administration of 9.06 uM/Kg of drug,12582,A,,,9615.0,,,N
14065,50588,,Canis lupus familiaris,Urine,Total electrolytic excretion of chlorine in urine of dogs after peroral administration of 9.6 uM/Kg of drug,12582,A,,,9615.0,,,N
14066,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after intravenous administration of 7.94 uM/Kg of drug,12582,A,,,10116.0,,,N
14067,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 0 uM/Kg of drug,12582,A,,,10116.0,,,N
14068,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 1.01 uM/Kg of drug,12582,A,,,10116.0,,,N
14069,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 1.13 uM/Kg of drug,12582,A,,,10116.0,,,N
14070,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 10.1 uM/Kg of drug,12582,A,,,10116.0,,,N
14071,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 102 uM/Kg of drug,12582,A,,,10116.0,,,N
14072,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 105 uM/Kg of drug,12582,A,,,10116.0,,,N
14073,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 11.3 uM/Kg of drug,12582,A,,,10116.0,,,N
14074,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 113 uM/Kg of drug,12582,A,,,10116.0,,,N
14075,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 19.5 uM/Kg of drug,12582,A,,,10116.0,,,N
14076,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 195 uM/Kg of drug,12582,A,,,10116.0,,,N
14077,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 21.7 uM/Kg of drug,12582,A,,,10116.0,,,N
14078,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 217 uM/Kg of drug,12582,A,,,10116.0,,,N
14079,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 23.9 uM/Kg of drug,12582,A,,,10116.0,,,N
14080,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 239 uM/Kg of drug,12582,A,,,10116.0,,,N
14081,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 24.9 uM/Kg of drug,12582,A,,,10116.0,,,N
14082,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 249 uM/Kg of drug,12582,A,,,10116.0,,,N
14083,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 25.9 uM/Kg of drug,12582,A,,,10116.0,,,N
14084,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 259 uM/Kg of drug,12582,A,,,10116.0,,,N
14085,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 26.5 uM/Kg of drug,12582,A,,,10116.0,,,N
14086,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 265 uM/Kg of drug,12582,A,,,10116.0,,,N
14087,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 27 uM/Kg of drug,12582,A,,,10116.0,,,N
14088,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 27.9 uM/Kg of drug,12582,A,,,10116.0,,,N
14089,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 270 uM/Kg of drug,12582,A,,,10116.0,,,N
14090,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 279 uM/Kg of drug,12582,A,,,10116.0,,,N
14091,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 28.2 uM/Kg of drug,12582,A,,,10116.0,,,N
14092,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 28.22 uM/Kg of drug,12582,A,,,10116.0,,,N
14093,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 28.9 uM/Kg of drug,12582,A,,,10116.0,,,N
14094,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 282 uM/Kg of drug,12582,A,,,10116.0,,,N
14095,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 289 uM/Kg of drug,12582,A,,,10116.0,,,N
14096,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 3.40 uM/Kg of drug,12582,A,,,10116.0,,,N
14097,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 3.76 uM/Kg of drug,12582,A,,,10116.0,,,N
14098,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 30.2 uM/Kg of drug,12582,A,,,10116.0,,,N
14099,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 302 uM/Kg of drug,12582,A,,,10116.0,,,N
14100,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 31.6 uM/Kg of drug,12582,A,,,10116.0,,,N
14101,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 316 uM/Kg of drug,12582,A,,,10116.0,,,N
14102,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 32.4 uM/Kg of drug,12582,A,,,10116.0,,,N
14103,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 324 uM/Kg of drug,12582,A,,,10116.0,,,N
14104,50597,,Rattus norvegicus,Urine,Total electrolytic excretion of chlorine in urine of rats after peroral administration of 34.0 uM/Kg of drug,12582,A,,,10116.0,,,N
