id,Style,ABV,Beer_Name,Brew_Factory_Name
2217,Amber Ale,7 %,Steinacher Ankerla Kolonial Red Ale,AnkerbrÃ $ u Steinach
2218,Amber Ale,5 %,Chez Gambrinus Galarneau,Brasserie Chez Gambrinus
2219,India Pale Ale &#40; IPA &#41;,6 %,Catawba Valley REDiculous Red IPA,Catawba Valley Brewing Company
2220,Amber Ale,5.50 %,Cannery Anarchist Amber Ale,Cannery Brewing Company
2221,Amber Ale,7 %,Mad Hatter Unhinged Amber Ale,Mad Hatter
2222,Amber Ale,5 %,Brasserie de Nice Hopstock,Brasserie artisanale de Nice
2223,American Pale Ale,5.20 %,3Cross Single Speed Pale Ale - Northern Brewer,3Cross Brewing Company
2224,Amber Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery
2225,Berliner Weisse,3.50 %,4 Hands Ruby Red Prussia,4 Hands Brewing Company
2226,Spice/Herb/Vegetable,5 %,Bolero Snort Crouching Tiger Ragin _ Bull,High Point Brewing Company
2227,India Pale Ale &#40; IPA &#41;,4.40 %,North Country Stinky Hippie,North Country Brewing Company
2228,Amber Ale,5 %,Big River Riverport Traditional Ale,BRB &#40; Be Right Back - Big River &#41;
2229,Amber Ale,7.50 %,Buxton Red Point IPA,Buxton
2230,Amber Ale,6.50 %,192 Malty Amber,192 Brewing Company
2231,Amber Ale,4.50 %,R. Shea Rubber City Red,R. Shea Brewing
2232,Amber Ale,6.40 %,Off the Rail Raybuck Red Ale,Off the Rail Brewing
2233,Amber Ale,5.20 %,Steamworks Lizard Head Red,Steamworks Brewing Co. &#40; US &#41;
2234,Amber Ale,5.70 %,Stilt House Weekender Amber Ale,Stilt House Brewery
2235,Bitter,3.80 %,Big Shed Sentinel Amber Ale,Big Shed
2236,Barley Wine,10.80 %,Magic Hat Humdinger Series - Graupel,Magic Hat Brewing Company &#40; North American Breweries &#41;
2237,Irish Ale,-,Hawcreek Get Down Ruby Red,Hawcreek Brewing Co. .
2238,Amber Ale,5.40 %,7 Devils Arago Amber,7 Devils Brewing Company
2239,India Pale Ale &#40; IPA &#41;,6.50 %,350 British Bulldog,350 Brewing Company
2240,Imperial IPA,7.70 %,Blind Tiger Ruby Slippers Imperial Red IPA,Blind Tiger
2241,Amber Ale,6 %,Cold Water Amber,Cold Water Brewery & Grill
2242,Cider,6 %,Aston Manor Amber Harvest Strong Dry Cider,Aston Manor
2243,Sour/Wild Ale,-,Cascade FredBonic Plague,Cascade Brewing
2244,Amber Ale,5 %,Big Axe Maple Wheat Amber Ale,Big Axe Brewery and B & B
2245,American Pale Ale,5 %,Bull & Barrel Left Hand Rye Pale Ale,Bull & Barrel Brew Pub
2246,Belgian Strong Ale,6.20 %,Nevin_s Mildly Confusing,Nevin_s Brewing Company
2247,Spice/Herb/Vegetable,5 %,Sulauze Cabosse,Brasserie de Sulauze
2248,India Pale Ale &#40; IPA &#41;,6.50 %,Central City Red Racer IPA - Nectarine & Mosaic Hops,Central City Brewers + Distillers
2249,Amber Ale,5.30 %,Bridge Ambleside Amber Ale - Pomegranate & Galena Hops,Bridge Brewing Company
2250,Amber Ale,-,Weasel Boy Feisty Fisher Amber Ale,Weasel Boy Brewing Company
2251,Amber Ale,5.30 %,Bridge Ambleside Amber Ale,Bridge Brewing Company
2252,Smoked,5.30 %,Hiisi Rooster Lager,Panimo Hiisi
2253,Imperial IPA,10.20 %,Aviator Horsepower,Aviator Brewing Company
2254,Amber Ale,5.50 %,Bozeman Bozone Select Amber Ale,Bozeman Brewing Company
2255,Abbey Dubbel,8.30 %,Idle Hands Craft Ales Dimples Redux,Idle Hands Craft Ales
2256,Premium Lager,6 %,13 Virtues Morocco Mole Mexican Lager,13 Virtues Brewing Company
2257,Pale Lager,5.90 %,Walleye Chop Lager,Brau Brothers Brewing Company
2258,American Strong Ale,6.80 %,Arkose High Ridge Double Red,Arkose Brewery
2259,Amber Ale,4.80 %,Holy City The Liberation Libation,Holy City Brewing
2260,Mild Ale,3.60 %,Barley_s Mild Child,Barley_s Brewing Company
2261,Golden Ale/Blond Ale,4.20 %,Funk Estate Parleyer,Massey University Microbrewery
2262,Bitter,3.90 %,Bobage Crew Brew Triple AAA,Bobage Brewing
2263,American Pale Ale,-,Amalias _ mbar,CervecerÃa Artesanal Amalias
2264,Amber Ale,-,Certified Originals Sol y Sambra,Niagara College Teaching Brewery
2265,Amber Ale,5.25 %,Westport Sailor_s Delight Amber Ale,Westport Brewing Company
2266,American Strong Ale,8 %,Anacapa Riptide Imperial Red Ale,Anacapa Brewing Company
2267,English Strong Ale,8.20 %,Aora Tostada,Brasserie La Binchoise
2268,India Pale Ale &#40; IPA &#41;,6.50 %,Alpha State Sorachi Red IPA,Alpha State
2269,American Pale Ale,5.60 %,450 North Road Rage Ale,450 North Brewing Company
2270,Amber Ale,-,Kinzua Dam My Hearts Content Amber Ale,Kinzua Dam Beer Company
2271,Wheat Ale,-,Brocklebank The Drunkards _ Reunion,Brocklebank Craft Brewing
2272,Amber Ale,5.30 %,Canton Brew Works Admiral Ambar,Canton Brew Works
2273,Sour/Wild Ale,6 %,Alvinne Red King,Picobrouwerij Alvinne
2274,American Pale Ale,6 %,PIONEER AMERICAN RED ALE,PIONEER BEER COMPANY
2275,Amber Ale,6 %,Maldita Old Continent American Amber Ale,Faustino Microcervejeira
2276,Pale Lager,4.50 %,Brassneck No Brainer Pre-Prohibition Style Corn Lager,Brassneck Brewery
2277,Amber Ale,5 %,Resignation / Redhook KCCO Amber Ale,Redhook Brewery
2278,Scotch Ale,8.90 %,ValhÃ ¶ ll Kilted Viking,ValhÃ ¶ ll Brewing Company
2279,Amber Ale,5.70 %,_ La FÃ '' t SÃ © rie Brouepub Cascade Rousse,_ La FÃ '' t
2280,Amber Ale,7 %,Torquemada Sarmiento,Cerveza Torquemada
2281,Bitter,4 %,Bazens May Beer,Star Inn &#40; prev Bazens &#41;
2282,American Strong Ale,7.50 %,Saranac High Peaks Immortality,F.X. Matt Brewing Company
2283,American Strong Ale,8 %,Great Northern Good Medicine Strong Red Ale,Great Northern Brewing Company
2284,Amber Ale,5.44 %,Barley Johns Reds on Vacation,Barley Johns Brew Pub
2285,Imperial Stout,9 %,4 Hands The Woodsman,4 Hands Brewing Company
2286,Barley Wine,15 %,Dogfish Head Olde School Barleywine,Dogfish Head Brewery
2287,Old Ale,12 %,Bells Traverse City Third Coast Old Ale,Bells Brewery
2288,Barley Wine,11.20 %,Central Waters Brewer_s Reserve Bourbon Barrel Barleywine,Central Waters Brewing Co. .
2289,Golden Ale/Blond Ale,4.50 %,Burton Bridge Horizontal Hold,Burton Bridge
2290,Barley Wine,10.60 %,Lagunitas Olde GnarlyWine,Lagunitas Brewing Company &#40; Heineken &#41;
2291,Barley Wine,11 %,AleSmith Old Numbskull,AleSmith Brewing Company
2292,Barley Wine,11.50 %,Rogue XS Old Crustacean Barleywine,Rogue Ales
2293,Barley Wine,9.50 %,Hair of the Dog Bourbon Doggie Claws from the Wood,Hair of the Dog Brewing Company
2294,American Strong Ale,8.10 %,Bad Brewing Ho Ho Holy Crap Christmas Ale,Bad Brewing Company
2295,Barley Wine,11.10 %,Uinta Crooked Line Cockeyed Cooper,Uinta Brewing Company
2296,Barley Wine,10.20 %,Dieu du Ciel Solstice d_Hiver,Dieu du Ciel
2297,Barley Wine,11 %,Bluegrass Bearded Pats Barleywine Style Ale,Bluegrass Brewing Company
2298,Barley Wine,10 %,Climax Barleywine 10th Anniversary Ale,Climax Brewing Company
2299,Spice/Herb/Vegetable,12 %,Almanac Heirloom Pumpkin Barleywine &#40; 2013 &#41;,Hermitage Brewing Company
2300,Imperial IPA,8.50 %,18th Street Deal With the Devil Pale Ale,18th Street Brewery
2301,Barley Wine,10 %,Boulder Beer Killer Penguin Barleywine,Boulder Beer Company
2302,Barley Wine,11.50 %,21st Amendment Lower da Boom &#40; DeBoom &#41; Barleywine,21st Amendment Brewery
2303,Barley Wine,11.50 %,Samuel Adams Griffin_s Bow Oaked Blonde Barleywine Ale,Boston Beer Company
2304,Black IPA,6.66 %,Captain Lawrence Pilot Batch : Sisyphus _ Smile,Captain Lawrence Brewing Company
2305,Barley Wine,10.70 %,Alaskan Pilot Series : Barley Wine Ale,Alaskan Brewing Company
2306,Barley Wine,11.50 %,East End Gratitude,East End Brewing Company
2307,Black IPA,6.90 %,2 Brothers/The Park/Great Northern Kryptonite,2 Brothers Brewery
2308,Barley Wine,10 %,Rock Art Vermonster,Rock Art Brewery
2309,Pale Lager,4.90 %,_ vyturys T &#363; kstantme &#269; io 1000,_ vyturys &#40; Carlsberg &#41;
2310,Barley Wine,13.20 %,Firestone Walker Helldorado,Firestone Walker Brewing Co &#40; Duvel Moortgat &#41;
2311,Barley Wine,12 %,Mikkeller Big Worse Barley Wine,De Proefbrouwerij
2312,Barley Wine,11.80 %,Great Divide Old Ruffian - Barrel Aged,Great Divide Brewing Company
2313,Barley Wine,11 %,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company
2314,Barley Wine,11.20 %,Hangar 24 Barrel Roll No. 04 : Hammerhead - Barrel Aged Barley Wine,Hangar 24 Craft Brewery
2315,Barley Wine,10 %,Santa Fe Chicken Killer Barley Wine,Santa Fe Brewing Company
2316,Barley Wine,10 %,Moylans Old Blarney Barleywine &#40; Bourbon Barrel &#41;,Moylans Brewery & Restaurant
2317,Sweet Stout,5.60 %,Devils Backbone Black Rock Milk Stout,Devils Backbone Brewing Company
2318,Barley Wine,9.50 %,Middle Ages Druid Fluid,Middle Ages Brewing
2319,Barley Wine,8.75 %,Big Sky Olde Bluehair Barleywine,Big Sky Brewing Company
2320,Barley Wine,9.50 %,Berkshire Holidale,Berkshire Brewing Company
2321,Barley Wine,10 %,Blue Point Old Howling Bastard,Blue Point Brewing &#40; AB InBev &#41;
2322,Barley Wine,10.60 %,DuClaw Hell on Wood,DuClaw Brewing Company
2323,Barley Wine,10.80 %,Rogue New Crustacean Barleywineish Imperial IPA Sorta,Rogue Ales
2324,Barley Wine,8.80 %,Left Hand Oak Aged Widdershins,Left Hand Brewing Co. .
2325,Smoked,11 %,NÃ ¸ gne _ Sunturnbrew,NÃ ¸ gne _ &#40; Hansa Borg &#41;
2326,American Strong Ale,7.50 %,Fish Tale Starfish Imperial Red,Fish Brewing Company/Leavenworth Beers
2327,Barley Wine,11 %,AleWerks Brewmasters Reserve Grand Illumination Ale,AleWerks Brewing Company
2328,Barley Wine,13.30 %,Speakeasy Brewer_s Reserve Old Godfather Barleywine,Speakeasy Ales and Lagers
2329,Barley Wine,10.50 %,Free State Old Backus Barleywine,Free State Brewing Company
2330,Barley Wine,11.80 %,New England Premeditated Murder Barleywine,New England Brewing Co. .
2331,Barley Wine,10 %,Thomas Hooker Old Marley Barleywine,Thomas Hooker Brewing Company
2332,Barley Wine,10 %,Pipeworks Santa vs. Unicorn American Barleywine,Pipeworks Brewing Company
2333,Barley Wine,10.10 %,Redhook Treblehook,Redhook Brewery
2334,American Strong Ale,8 %,Austin Beerworks Battle Axe Imperial Red Ale,Austin Beerworks
2335,Barley Wine,11.80 %,Short_s Bourbon Wizard,Short_s Brewing Company
2336,American Strong Ale,13.60 %,Firestone Walker Maltose Falcons Brownywine,Firestone Walker Brewing Co &#40; Duvel Moortgat &#41;
2337,Barley Wine,10 %,Kentucky Bourbon Barrel Barleywine,Alltech Lexington Brewing And Distilling
2338,Barley Wine,-,New England Attempted RedRum,New England Brewing Co. .
2339,Barley Wine,10 %,Pipeworks Reaper vs Unicorn,Pipeworks Brewing Company
2340,Black IPA,7.40 %,Mountain Goat Before the Dawn,Mountain Goat Beer &#40; Asahi Holdings - Australia &#41;
2341,Barley Wine,10.90 %,Town Hall Twisted Trace,Minneapolis Town Hall Brewery
2342,Amber Ale,5.40 %,The Brew Hub Keybilly,The Brew Hub
2343,Barley Wine,-,_ i_lavar Barley Wine,_ i_lavar - PrvnÃ SvobodnÃ 1/2 _ abov &#345; eskÃ 1/2 Pivovar
2344,Black IPA,8 %,Beerbliotek / Flying Couch Night & Day,Beerbliotek
2345,Barley Wine,12.50 %,Sebago Single Batch Series Barleywine,Sebago Brewing Company
2346,Barley Wine,10 %,Leinenkugels Big Eddy Ryewine Ale,Leinenkugel Brewing Company &#40; Tenth & Blake Beer Co. &#41;
2347,Barley Wine,10 %,Half Acre Quakerbridge Barley Wine,Half Acre Beer Company
2348,Stout,5.40 %,4 Pines Comfortably Numb,4 Pines Brewing Company
2349,Barley Wine,10 %,Fish Tale Leviathan Barleywine &#40; Batch 5 + &#41;,Fish Brewing Company/Leavenworth Beers
2350,Imperial IPA,7.80 %,Austin Beer Garden Luxury Liner,Austin Beer Garden Brewery
2351,Barley Wine,14 %,Driftwood Old Cellar Dweller Barleywine,Driftwood Brewery &#40; Canada &#41;
2352,Barley Wine,11 %,Cambridge Barrel-Aged Blunderbuss Barleywine,Cambridge Brewing Company
2353,Barley Wine,18.50 %,Mikkeller Big Worst Barley Wine,De Proefbrouwerij
2354,Barley Wine,10.30 %,Alley Kat Olde Deuteronomy Barley Wine,Alley Kat Brewing Company
2355,Barley Wine,10.40 %,Tenaya Creek Old Jackalope Barleywine,Tenaya Creek Brewery
2356,Barley Wine,12.20 %,Black Raven Old Birdbrain Barleywine,Black Raven Brewing
2357,American Pale Ale,4.50 %,Cismontane Deciduous IPA,Cismontane Brewing
2358,Barley Wine,12.80 %,Appalachian Broad Street Barley Wine,Appalachian Brewing Company &#40; PA &#41;
2359,Barley Wine,11.10 %,The Bruery Oaked Old Richland,The Bruery
2360,Barley Wine,17.50 %,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing
2361,Bitter,4.30 %,Newmans Woolly Rhinoceros,Celt Experience
2362,Barley Wine,12 %,Solemn Oath Heavyweight Ticklefight Champion of the World,Solemn Oath Brewery
2363,Barley Wine,9 %,Marin Old Dipsea Barleywine Style Ale,Marin Brewing Company
2364,Barley Wine,10 %,Crazy Mountain Lawyers,Crazy Mountain Brewing Company
2365,Amber Ale,5.50 %,Grizzly Peak Steelhead Red Guns and Money,Grizzly Peak Brewing Co. .
2366,Barley Wine,9.85 %,Elysian Cyclops Barleywine,Elysian Brewing &#40; AB-InBev &#41;
2367,India Pale Ale &#40; IPA &#41;,6.10 %,Equinox Entropycal Red IPA,Equinox Brewing
2368,Barley Wine,10 %,Ninkasi Critical Hit Barley Wine,Ninkasi Brewing Company
2369,Barley Wine,7.50 %,FiftyFifty Annularity,FiftyFifty Brewing Company
2370,Barley Wine,12.25 %,NÃ ¸ rrebro Little Korkny Ale,NÃ ¸ rrebro Bryghus
2371,Amber Ale,4.80 %,Big Bay Boatilla Amber Ale,Milwaukee Brewing Company
2372,Barley Wine,10 %,Dick_s Barley Wine,Dick_s Brewing Company
2373,Barley Wine,17 %,Kuhnhenn Vintage Ale,Kuhnhenn Brewing
2374,Barley Wine,11.25 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company
2375,German Hefeweizen,-,Bills Foggy Notion Weissbier,Bills Tavern and Brewhouse
2376,Barley Wine,11.50 %,Kuhnhenn American Barley Wine,Kuhnhenn Brewing
2377,Belgian Strong Ale,-,1516 Grand Reserve Triple Barrique,1516 Brewing Company
2378,American Strong Ale,-,Columbus Bourbon Barrel Aged Uncle Rusty,Columbus Brewing Company
2379,Barley Wine,12 %,Horseheads Domination Ale,Horseheads Brewing
2380,Imperial IPA,11 %,Brutopia Rocket Fuel,Brutopia
2381,Barley Wine,9.50 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery
2382,Barley Wine,13 %,Shoreline Big Bourbon Series Discombobulation Celebration Ale,Shoreline Brewery
2383,Barley Wine,-,East End Gratitude &#40; Bourbon Barrel Aged &#41;,East End Brewing Company
2384,Barley Wine,11.50 %,18th Street Barrel Aged Devil_s Spear,18th Street Brewery
2385,Barley Wine,9.05 %,FiftyFifty Old Conundrum Barley Wine,FiftyFifty Brewing Company
2386,Barley Wine,9 %,_ l_Abri de la TempÃªte Corps Mort,_ l_Abri de la TempÃªte
2387,Imperial Stout,10.50 %,13 Virtues Patience Imperial Stout,13 Virtues Brewing Company
2388,Barley Wine,11.20 %,Tired Hands MotherAnimal,Tired Hands Brewing Company
2389,Barley Wine,11.50 %,Portsmouth Barleywine,Portsmouth Brewery
2390,Barley Wine,10.20 %,Kane Vengeful Heart,Kane Brewing Company
2391,Barley Wine,10.98 %,Town Hall Twisted Reality Barleywine,Minneapolis Town Hall Brewery
2392,Barley Wine,13.20 %,Oskar Blues Old Double Bagger &#40; ODB &#41;,Oskar Blues Brewery
2393,Barley Wine,9.80 %,Union Craft Chessie Barleywine,Union Craft Brewing Company
2394,Imperial IPA,10.60 %,Terrapin Oaked Big Hoppy Monster,Terrapin Beer Company
2395,Amber Ale,5.60 %,Denali Single Engine Red,Denali Brewing Company
2396,Imperial IPA,8.20 %,Barrier Tenderfoot,Barrier Brewing Company
2397,Barley Wine,10 %,Phillips Trainwreck Barley Wine,Phillips Brewing Co. .
2398,Barley Wine,11 %,Rock Bottom Boston Liquid Courage Barley Wine,Rock Bottom Boston
2399,Barley Wine,12.50 %,Haymarket Clare_s Right Hook,Haymarket Pub & Brewery
2400,Barley Wine,10.80 %,Smuttynose Smuttlabs Ol _ Grundy Humper,Smuttynose Brewing Company
2401,Barley Wine,12.70 %,Saint Arnold Bishops Barrel # 10,Saint Arnold Brewing Company
2402,Barley Wine,11 %,Grand Lake Barrel Aged Super Chicken Barley Wine,Grand Lake Brewing Co
2403,Barley Wine,11.50 %,Four Peaks Hopsquatch Barleywine,Four Peaks Brewing Company
2404,Black IPA,6.20 %,Big Rig Release the Hounds,Big Rig Brewery
2405,Barley Wine,9 %,Cape Ann Fisherman_s Tea Party,Cape Ann Brewing Company
2406,Barley Wine,11.50 %,5 Rabbit Ponche,5 Rabbit Cerveceria
2407,Barley Wine,9.30 %,Carolina Old 392 Barleywine,Carolina Brewing Company
2408,Sweet Stout,6.40 %,Odell Gramps,Odell Brewing Company
2409,Barley Wine,11.20 %,Golden City Centurion Barleywine Ale,Golden City Brewery
2410,Barley Wine,9 %,13 Virtues Mob Barleywine,13 Virtues Brewing Company
2411,Barley Wine,9 %,Big Time Old Wooly Barleywine,Big Time Brewery
2412,Amber Ale,5.50 %,Cahaba Liquidambar Amber Ale,Cahaba Brewing Company
2413,Barley Wine,11 %,Harmon Super Samurai Barley Wine Ale,Harmon Brewery & Restaurant
2414,Barley Wine,10.40 %,Mikkeller / Three Floyds Risgoop,De Proefbrouwerij
2415,Spice/Herb/Vegetable,11.20 %,Elysian The Gourdfather Pumpkin Barleywine,Elysian Brewing &#40; AB-InBev &#41;
2416,Barley Wine,-,Elevator Barrel Aged Barley Wine,Elevator Brewing Company
2417,Premium Lager,5.20 %,Breakwater Wellenbrecher Lager,Breakwater Brewing Company
2418,Doppelbock,8.50 %,Alcatraz Annihilator Doppelbock,Alcatraz Brewing
2419,Spice/Herb/Vegetable,4.10 %,612 Brew Mary Ann,612 Brew
2420,Barley Wine,10 %,Boundary Bay Old Bounder,Boundary Bay Brewery and Bistro
2421,Bitter,4 %,Mighty Oak Snowbeard,Mighty Oak
2422,Amber Ale,4.70 %,Olde Johnnie Ale,Cold Spring Brewery
2423,Barley Wine,-,Black Husky Beware of Dog Series : Headbutter Barleywine,Black Husky Brewing
2424,Barley Wine,13 %,Revolution Barrel Aged Institutionalized Barley Wine,Revolution Brewing Company
2425,Barley Wine,10.30 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Tighthead Brewing Company
2426,Imperial Porter,8.20 %,Fort George Hogfather,Fort George Brewery
2427,Barley Wine,9 %,White Birch Barley Wine Ale,White Birch Brewing
2428,Barley Wine,11.90 %,Nebraska Inception Series Runnin _ with the Devil,Nebraska Brewing Company
2429,Barley Wine,8.60 %,Anderson Valley Barrel Aged Horn of the Beer Barley Wine,Anderson Valley Brewing Company
2430,Barley Wine,12 %,BrewDog Clown King,BrewDog
2431,Grodziskie/Gose/Lichtenhainer,4.50 %,Creature Comforts Tritonia,Creature Comforts Brewing Company
2432,Barley Wine,10.50 %,BrewDog / Oskar Blues Shipwrecker Circus,BrewDog
2433,Barley Wine,9.20 %,Snipes Mountain Roza Reserve,Snipes Mountain Microbrewery
2434,Barley Wine,9 %,Cathedral Square Repent Rye,Crown Valley Brewing & Distilling
2435,Stout,7 %,Abbot BrewHouse Benedictus Primus,Abbot BrewHouse
2436,Barley Wine,13 %,Burnt Hickory Killdozer 12 Point Buck Ale,Burnt Hickory Brewery
2437,Barley Wine,10.50 %,Ladyface Oaked Bluebelly Barleywine,Ladyface Ale Companie
2438,Amber Ale,5.30 %,Copperhead Red,Copperhead Brewery
2439,Barley Wine,12 %,Block 15 Hypnosis,Block 15 Brewery
2440,Barley Wine,12 %,Excel Ryeday The 13th,Excel Brewing Company
2441,Spice/Herb/Vegetable,8 %,Grado Plato Strada S. Felice,Birrificio Grado Plato
2442,Barley Wine,10 %,Napa Smith Grateful Dog Barleywine,Napa Smith Brewery
2443,Barley Wine,10.80 %,Tired Hands StonerWitch,Tired Hands Brewing Company
2444,Barley Wine,11.50 %,Drakes Rakish Ryewine,Drakes Brewing Company
2445,Barley Wine,10.80 %,Mother_s Foggy Notion - Single Barrel,Mother_s Brewing Company
2446,Barley Wine,10 %,La Voie MaltÃ © e Polissonne,La Voie MaltÃ © e
2447,Barley Wine,13 %,Revolution Mineshaft Gap,Revolution Brewing Company
2448,Barley Wine,9.10 %,Twisted Pine Bough Breaker Barleywine,Twisted Pine Brewing
2449,Bitter,4.50 %,Brakspear Downpour,Brakspear &#40; Marstons &#41;
2450,American Pale Ale,6 %,Albuquerque The Dukes Pale Ale,Albuquerque Brewing Company
2451,Barley Wine,11 %,Burnt Hickory / Coastal Empire March to the Sea,Burnt Hickory Brewery
2452,Barley Wine,-,Piece Barrel Aged Moose Knuckle,Piece Brewery & Pizzeria
2453,Amber Ale,7 %,Jackie O_s Really Nelson India Red Ale,Jackie O_s Pub & Brewery
2454,Specialty Grain,4.60 %,Animal Big Bang,XT Brewing
2455,Barley Wine,10.30 %,Sockeye Old Devils Tooth Barleywine,Sockeye Brewing
2456,Barley Wine,10.40 %,5 Seasons North Cloud 9 Barleywine,5 Seasons North
2457,Barley Wine,12.50 %,FiftyFifty Cherry Annularity,FiftyFifty Brewing Company
2458,American Strong Ale,7 %,New Albanian Hoosier Daddy Crimson & Cream Ale,New Albanian Brewing Company
2459,Barley Wine,12 %,Brouhaha Gaz de Course,Broue Pub Brouhaha
2460,Barley Wine,9.10 %,Hay Camp Hoplessness Barleywine,Hay Camp Brewing Company
2461,Barley Wine,11 %,Du Lac Saint-Jean Frappabord,Microbrasserie du Lac Saint-Jean
2462,Barley Wine,8.70 %,Port Jeff Cold North Wind,Port Jeff Brewing Company
2463,Barley Wine,9.70 %,Lompoc Bourbon Barrel Aged Old Tavern Rat,Lompoc Brewing
2464,Golden Ale/Blond Ale,4.70 %,10 Barrel Mike Saw a Sasquatch Session Ale,10 Barrel Brewing &#40; AB InBev &#41;
2465,Belgian Strong Ale,7.50 %,Crazy Mountain Old Soul Belgian Strong Ale,Crazy Mountain Brewing Company
2466,Barley Wine,9.80 %,Union Craft Chessie Barleywine Barrel Aged,Union Craft Brewing Company
2467,Barley Wine,11 %,Barrington Yule Fuel,Barrington / Berkshire Mountain Brewery
2468,Barley Wine,13 %,Walking Man Bourbon Barrel Old Stumblefoot,Walking Man Brewing
2469,Barley Wine,10 %,Equinox Midwinter Warmer,Equinox Brewing
2470,Barley Wine,-,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing
2471,Oktoberfest/M Ã $ rzen,-,Airways Autumnfest Lager,Airways Brewing Company
2472,American Strong Ale,8 %,Lighthouse Siren Red Ale,Lighthouse Brewing &#40; Canada &#41;
2473,Barley Wine,9.60 %,Bluejacket High Society,Bluejacket
2474,American Strong Ale,10 %,Barley BB10Â ° &#40; Dexi &#41;,Birrificio Barley
2475,Barley Wine,11.50 %,Capitol City Slobberknocker Barleywine,Capitol City Brewing Company
2476,Barley Wine,11.50 %,Beer Works Hercules Strong Ale,Beer Works
2477,Imperial IPA,8.50 %,AleSmith YuleSmith &#40; Summer &#41; India Pale Ale,AleSmith Brewing Company
2478,Abbey Dubbel,9.20 %,Ale Asylum Diablo Belga,Ale Asylum
2479,Barley Wine,16 %,Birra del Borgo Sedicigradi,Birra del Borgo
2480,Barley Wine,9.90 %,Brewsters Blue Monk Barley Wine,Brewsters Brewing Co. - Alberta
2481,American Strong Ale,8.80 %,Motor City Winter Ale,Motor City Brewing Works
2482,Barley Wine,14 %,Side Project Anabasis,Perennial Artisan Ales
2483,Barley Wine,15.20 %,De Molen Bommen & Granaten Cascade Dry Hopped,Brouwerij de Molen
2484,Barley Wine,12.50 %,Empire Barley Wine,Empire Brewing Company
2485,Amber Ale,5 %,Quidi Vidi 1892 Traditional Ale,Quidi Vidi Brewing Company
2486,Smoked,5.50 %,Barrier Undertow Dunkel Rauch,Barrier Brewing Company
2487,Barley Wine,16 %,Devils Canyon Barrel of Monkeys Barleywine,Devils Canyon Brewing Co. .
2488,Barley Wine,10 %,Wormtown Beer Goggles Barleywine,Wormtown Brewing Co. .
2489,Barley Wine,11.50 %,Mike Hess Ordeum Rex Barley Wine,Mike Hess Brewing Company
2490,Stout,7 %,Barnstormer Dead Stick Stout,Barnstormer Brewing and Pizzeria
2491,Barley Wine,13.90 %,Hangar 24 Barrel Roll No. 04 : Hammerhead - Bourbon Barrel Aged with Chai Tea,Hangar 24 Craft Brewery
2492,Sweet Stout,5.50 %,8 Wired Flat White Coffee Milk Stout,8 Wired Brewing
2493,Barley Wine,13 %,Omnipollo Erzulie Barley Wine,De Proefbrouwerij
2494,Barley Wine,9 %,Les Brasseurs du Temps Mea Magna Culpa,Les Brasseurs du Temps
2495,Amber Ale,5.30 %,Fredericksburg Enchanted Rock Red Ale,Fredericksburg Brewing Company
2496,Barley Wine,9.80 %,Pizza Port Old Boneyards Barleywine,Pizza Port &#40; Solana Beach &#41;
2497,Barley Wine,-,Sprague Farm Barbarian Barley Wine,Sprague Farm & Brew Works
2498,Barley Wine,12 %,Crabtree Woody B. Barley Wine Ale,Crabtree Brewing Company
2499,Barley Wine,10 %,BrewDog #MashTag 2015,BrewDog
2500,Barley Wine,10 %,Pizza Boy / Chip Bender - Benders Barleywine,Pizza Boy Brewing
2501,India Pale Ale &#40; IPA &#41;,7.60 %,Aztec Sacrifice Red IPA,Aztec Brewing Company
2502,Barley Wine,11.50 %,Jackie O_s Bourbon Barrel Nutted Brick Kiln,Jackie O_s Pub & Brewery
2503,India Pale Ale &#40; IPA &#41;,6.10 %,Peter Bs Dr. Strangelove,Peter Bs Brewpub
2504,Barley Wine,11.80 %,Blue Hills Fortis Pagus,Blue Hills Brewery
2505,Barley Wine,10 %,Telegraph Obscura Aurantium,Telegraph Brewing Company
2506,Barley Wine,10.90 %,Strange Land Bishopsgate,Strange Land Brewery
2507,Barley Wine,18.30 %,Mikkeller Big Worster Barrel Aged Barley Wine Malaga Edition,De Proefbrouwerij
2508,Barley Wine,13 %,Hermit Thrush Abbey Series # 1 - Jolly Abbot Barley Wine,Hermit Thrush Brewery
2509,Barley Wine,9 %,Trinity Wolfs Breath Winter Warmer,Trinity Brewhouse
2510,Barley Wine,9.50 %,21st Amendment Bourbon Barrel Lower da Boom Barleywine,21st Amendment Brewery
2511,Barley Wine,9.40 %,Flying Goose Isle Of Pines Barley Wine,Flying Goose Brew Pub
2512,Imperial IPA,9.10 %,Aardwolf / Pinglehead How Heavy This Hop,Aardwolf
